onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
5172.75494	1.9057426	1	1	6	2	10	2	4	10
5175.220662	2.0487338	1	2	3	1	10	6	2	9
5177.619459	2.068795	1	3	4	1	11	6	8	6
5180.198181	1.888903	1	4	4	1	2	6	2	4
5182.638157	1.7579977	1	5	1	1	8	1	7	8
5184.755872	1.9390916	1	6	7	2	4	5	5	5
5187.044713	1.8790491	1	7	7	2	6	3	5	8
5189.273593	1.7591451	1	8	7	1	5	1	8	10
5191.382611	1.8790664	1	9	3	1	9	3	3	6
5193.611541	1.8790736	1	10	6	1	11	1	7	4
5195.880427	1.7391232	1	11	2	2	7	1	7	2
5197.969799	1.748747	1	12	7	2	2	2	7	2
5200.228338	1.8891297	1	13	5	1	2	6	9	8
5202.467257	1.779104	1	14	2	1	9	1	11	6
5204.74616	1.8690484	1	15	4	1	11	2	4	4
5207.144981	1.6691796	1	16	5	1	1	2	1	8
5209.164019	1.7191399	1	17	2	2	1	3	6	3
5211.412925	1.9290337	1	18	5	1	4	6	4	7
5213.861747	1.9190216	1	19	2	2	11	3	10	10
5216.270579	1.8690555	1	20	4	2	1	6	5	9
5218.649427	1.6391595	1	21	1	1	2	1	3	4
5220.828375	1.6791284	1	22	2	2	4	1	9	10
5223.057284	1.9991064	1	23	4	1	10	5	7	7
5225.656011	1.8890569	1	24	5	1	2	6	8	3
5227.894941	1.7391221	1	25	3	2	7	1	2	1
5230.133868	1.8889894	1	26	5	2	2	6	10	2
5232.602652	1.8993443	1	27	1	2	5	5	2	11
5235.061489	1.8890425	1	28	2	1	2	6	4	2
5237.500307	1.8690576	1	29	7	1	3	4	10	10
5239.869141	1.9792	1	30	3	2	9	5	10	4
5242.467861	1.8290814	1	31	3	2	4	4	9	1
5245.066577	1.7190821	1	32	5	2	6	1	7	8
5247.275427	1.8890531	1	33	2	2	7	4	3	5
5249.714219	2.0289358	1	34	6	1	6	6	11	3
5252.102998	2.0089395	1	35	6	1	5	6	3	2
5254.631889	1.7789097	1	36	6	2	1	3	4	9
