,onset,duration,run_number,trial_number,trial_sequence,saccade_direction,fixation_duration,post_stim_duration,spatial_jitter_x,spatial_jitter_y,trial_onset,trial_offset,check_fix_onset,fix_onset,fix_offset,s1_onset,s1_offset,s2_onset,s2_offset,s3_onset,s3_offset,fix_duration,s1_duration,s2_duration,s3_duration,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,jitter_x_trial,jitter_y_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial,time_independant_sac
10,13418.88578,1.8390837,1,11,6,2,9,1,11,7,13368285.0,13370126.0,0.0,13368296.0,13369116.0,13368656.0,13368657.0,13368686.0,13368687.0,13368716.0,13368717.0,820.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8419178863840933,8.089600609597605,5.62152819426038,2.561533783098942,13369398.0,13369439.0,41.0,267.8664547933544,6.074680218731914,6.065711620681893,0.5279103795188895,282.0,0.5287727723351914,2.5,0.5000000000000001,1.0,2.8419178863840933,8.089600609597605,5.62152819426038,2.561533783098942,13369398.0,13369439.0,41.0,267.8664547933544,6.074680218731914,6.065711620681893,0.5279103795188895,0.5287727723351914,1.0
11,13421.25462,1.7091212,1,12,3,2,3,2,10,3,13370655.0,13372365.0,0.0,13370663.0,13371354.0,13370905.0,13370905.0,0.0,0.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1046115407083184,7.037294839243443,3.638070278428363,1.1388440738372314,13371609.0,13371651.0,42.0,248.98246154170968,5.529692228810058,5.540486862483272,0.46896670777232213,255.0,0.4672798925515703,2.0000000000000004,-1.5000000000000002,1.0,2.1046115407083184,7.037294839243443,3.638070278428363,1.1388440738372314,13371609.0,13371651.0,42.0,248.98246154170968,5.529692228810058,5.540486862483272,0.46896670777232213,0.4672798925515703,1.0
12,13423.32362,1.7990882,1,13,1,1,5,3,8,4,13372722.0,13374524.0,0.0,13372734.0,13373513.0,13373013.0,13373013.0,0.0,0.0,0.0,0.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3430744700572814,-4.115761713654921,4.375376624104137,3.461532139322894,13373448.0,13373484.0,36.0,275.2014807471336,5.5347993841665755,5.495572292963394,2.9757242559621973,-65.0,2.9726125772985785,1.0000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,13425.70246,1.9592711,1,14,1,2,8,5,11,9,13375101.0,13377062.0,0.0,13375113.0,13376053.0,13375453.0,13375453.0,0.0,0.0,0.0,0.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9111485291705512,8.324984795071561,6.639218643221311,5.784220204808557,13376219.0,13376261.0,42.0,242.48918661087455,5.480934723536967,5.5577763269352,0.15663471015664304,166.0,0.1563428431838974,2.5,1.5000000000000002,1.0,2.9111485291705512,8.324984795071561,6.639218643221311,5.784220204808557,13376219.0,13376261.0,42.0,242.48918661087455,5.480934723536967,5.5577763269352,0.15663471015664304,0.1563428431838974,1.0
14,13428.22119,1.8790995,1,15,1,1,9,3,3,11,13377620.0,13379501.0,0.0,13377632.0,13378491.0,13377991.0,13377992.0,0.0,0.0,0.0,0.0,859.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3569205986145763,-7.643062963624949,7.667293688600211,6.09921962948694,13378708.0,13378757.0,49.0,275.6335155697533,6.478768562623779,6.658484490654808,2.8971323265574953,217.0,2.900648768719454,-1.5000000000000002,2.5,1.0,-1.3569205986145763,-7.643062963624949,7.667293688600211,6.09921962948694,13378708.0,13378757.0,49.0,275.6335155697533,6.478768562623779,6.658484490654808,2.8971323265574953,2.900648768719454,1.0
15,13430.61007,1.9690811,1,16,1,1,6,6,3,6,13380011.0,13381980.0,0.0,13380019.0,13380971.0,13380321.0,13380321.0,0.0,0.0,0.0,0.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.585381719809884,-6.462680504115846,5.271913448188768,3.863069867484351,13381102.0,13381150.0,48.0,252.7655971279112,5.076700076455615,5.290617544024273,2.8603895654481293,131.0,2.850261195954035,-1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,13433.06887,1.9989851,1,17,7,2,7,5,7,4,13382469.0,13384468.0,0.0,13382478.0,13383459.0,13382799.0,13382799.0,13382829.0,13382829.0,13382859.0,13382859.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6196142529387973,6.2342193829205295,4.129607842212214,2.2603804869778505,13383670.0,13383730.0,60.0,227.73298082399825,5.917584107655221,5.956081832903336,0.3213805951090446,211.0,0.32965334888661973,0.5000000000000001,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,13435.41773,1.7690929,1,18,3,2,6,2,5,8,13384818.0,13386587.0,0.0,13384827.0,13385578.0,13385128.0,13385128.0,0.0,0.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2284611211953118,5.019221602018197,6.3069115578463135,4.216146145695285,13385866.0,13385931.0,65.0,257.9047940055481,5.648847136554555,5.725378344088042,0.3791408795541416,288.0,0.3960003089532324,-0.5000000000000001,1.0000000000000002,1.0,-0.2284611211953118,5.019221602018197,6.3069115578463135,4.216146145695285,13385866.0,13385931.0,65.0,257.9047940055481,5.648847136554555,5.725378344088042,0.3791408795541416,0.3960003089532324,1.0
18,13437.75658,1.8090943,1,19,4,1,8,2,3,1,13387157.0,13388966.0,0.0,13387165.0,13387956.0,13387507.0,13387507.0,0.0,0.0,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.2842284236887946,-7.130756207005162,2.921533125588522,1.360382130753898,13388146.0,13388193.0,47.0,259.3667153404149,6.05137005559595,6.232242286625904,2.8806586357814306,190.0,2.87748401503017,-1.5000000000000002,-2.5,1.0,-2.038842430061184,-2.0319193657825405,3.1223019896692503,3.1430711825051887,13388734.0,13388758.0,24.0,18.862791768911382,0.021892651508271296,0.12394025371729128,-1.2490457723983681,-2.197539228005917,1.0
19,13440.09574,2.0486776,1,20,1,1,10,6,7,10,13389497.0,13391545.0,0.0,13389504.0,13390535.0,13389885.0,13389885.0,0.0,0.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5399990137343723,-4.496530248980439,7.324602006807245,6.784602993072873,13390749.0,13390802.0,53.0,262.0852044972976,5.065394945018276,5.359812265199003,3.0347841795429993,214.0,3.037425605890334,0.5000000000000001,2.0000000000000004,1.0,0.5399990137343723,-4.496530248980439,7.324602006807245,6.784602993072873,13390749.0,13390802.0,53.0,262.0852044972976,5.065394945018276,5.359812265199003,3.0347841795429993,3.037425605890334,1.0
20,13442.70417,1.7591019,1,21,4,1,8,1,9,2,13392103.0,13393864.0,0.0,13392114.0,13392854.0,13392454.0,13392454.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.9661502551354024,-2.049227026479155,3.523839717830707,2.831533289966128,13392878.0,13392913.0,35.0,239.48935867072115,4.0746218111340005,4.05714751243039,2.9708574421145104,24.0,2.9657836982877255,1.5000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,13444.82313,1.9389886,1,22,3,1,7,5,7,3,13394222.0,13396163.0,0.0,13394234.0,13395153.0,13394553.0,13394553.0,0.0,0.0,0.0,0.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7373063456757749,-3.5861472963385195,4.129607842212214,2.5857645080742016,13395062.0,13395112.0,50.0,247.02235399936572,4.590828207960851,4.789921285911285,2.7986194333962726,-91.0,2.800415971774734,0.5000000000000001,-1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,13447.30188,1.8290835,1,23,2,1,4,4,7,11,13396701.0,13398532.0,0.0,13396713.0,13397522.0,13396972.0,13396972.0,0.0,0.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5815373994062447,-4.493068716841115,7.926908599049428,6.455757439837198,13397653.0,13397702.0,49.0,277.045740644569,5.283551170217489,5.576420841145523,2.859423323475307,131.0,2.8655951733278386,0.5000000000000001,2.5,1.0,0.5815373994062447,-4.493068716841115,7.926908599049428,6.455757439837198,13397653.0,13397702.0,49.0,277.045740644569,5.283551170217489,5.576420841145523,2.859423323475307,2.8655951733278386,1.0
23,13449.48084,2.0489392,1,24,3,1,10,6,9,11,13398881.0,13400930.0,0.0,13398890.0,13399920.0,13399270.0,13399271.0,0.0,0.0,0.0,0.0,1030.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5092280127447828,-3.3888399643971128,8.006523838253855,6.081911968790325,13400114.0,13400166.0,52.0,278.95179126825803,5.262622992081306,5.506814607995929,2.767193443739379,194.0,2.764354620156733,1.5000000000000002,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,13452.05959,1.8491029,1,25,5,2,10,2,6,3,13401460.0,13403309.0,0.0,13401468.0,13402299.0,13401849.0,13401849.0,0.0,0.0,0.0,0.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0692306427864579,4.991529344903615,3.9357620424101305,1.5819201876705624,13402504.0,13402553.0,49.0,249.84120952164386,5.456152123061459,5.5440443819640475,0.4460557803673236,205.0,0.45024433460780305,0.0,-1.5000000000000002,1.0,0.0692306427864579,4.991529344903615,3.9357620424101305,1.5819201876705624,13402504.0,13402553.0,49.0,249.84120952164386,5.456152123061459,5.5440443819640475,0.4460557803673236,0.45024433460780305,1.0
