onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
358827.8862	1.8156329	2	1	2	1	7	2	3	2
358830.3517	2.0787642	2	2	3	2	11	6	8	11
358832.9504	1.749215	2	3	1	1	2	3	4	7
358835.2292	1.9688252	2	4	7	2	2	5	3	11
358837.729	1.8079874	2	5	1	2	10	1	6	11
358840.1266	2.0791275	2	6	5	1	11	6	7	5
358842.5553	2.0191643	2	7	6	2	2	6	5	3
358845.064	1.8090904	2	8	1	1	10	1	10	9
358847.4329	1.9490262	2	9	7	2	1	5	10	4
358849.9416	1.819056	2	10	3	1	8	2	1	7
358852.2604	1.8989502	2	11	2	2	7	4	7	11
358854.6692	1.8092647	2	12	1	1	5	3	9	10
358856.978	1.8091735	2	13	1	2	10	1	2	7
358859.2969	1.8290807	2	14	5	1	6	3	8	6
358861.6157	1.9292669	2	15	4	1	11	3	3	9
358864.0545	1.8592809	2	16	4	2	5	4	7	5
358866.3933	1.9190095	2	17	3	1	8	4	2	7
358868.8022	1.7089694	2	18	3	1	5	1	9	8
358870.8611	1.9989508	2	19	1	1	7	6	7	6
358873.3598	1.8190821	2	20	1	2	8	2	4	11
358875.7586	1.7790892	2	21	1	1	1	4	9	2
358878.0175	1.7191107	2	22	5	1	3	2	10	11
358880.2563	1.9390141	2	23	2	2	4	6	2	2
358882.6851	1.9390206	2	24	2	2	4	6	2	7
358885.1339	1.878999	2	25	4	1	1	6	4	1
358887.4927	1.7690915	2	26	3	1	8	1	4	8
358889.6119	1.8587643	2	27	5	2	10	2	1	4
358891.9604	2.0789305	2	28	6	1	5	6	6	8
358894.5994	1.8487198	2	29	5	1	7	3	3	2
358896.798	1.7690849	2	30	3	1	8	1	4	8
358898.917	1.8989951	2	31	2	1	7	4	6	6
358901.3161	1.8088202	2	32	3	2	5	3	5	11
358903.6945	1.799086	2	33	2	2	2	4	11	6
358906.0034	1.89902	2	34	7	1	6	2	3	2
358908.4021	1.9190375	2	35	5	2	8	4	1	8
358910.8409	1.7092833	2	36	3	2	5	1	5	10
358913.0598	2.0189388	2	37	7	1	2	6	6	1
358915.5686	1.9392111	2	38	4	2	9	4	6	4
358917.9374	1.8892899	2	39	4	2	4	5	11	9
358920.3662	1.8690444	2	40	6	2	7	1	6	5
358922.685	1.6491642	2	41	2	2	2	1	11	2
358924.8339	1.789012	2	42	7	2	3	1	8	1
358927.1227	1.919039	2	43	4	2	8	4	1	1
358929.5215	1.9489932	2	44	6	2	1	5	3	3
358931.8204	1.8990217	2	45	6	2	6	2	11	7
358934.2292	1.8290701	2	46	1	2	11	1	2	8
358936.548	1.8090261	2	47	1	2	10	1	8	1
358938.8769	1.769088	2	48	6	2	2	1	11	7
358941.1357	1.679117	2	49	5	2	1	2	8	9
