onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
359428.8133	1.855676	3	1	3	1	10	2	2	1
359431.1996	1.9080567	3	2	4	1	10	3	7	6
359433.6181	2.0382558	3	3	5	2	9	6	6	7
359436.1864	1.8888334	3	4	5	1	9	3	6	1
359438.6591	1.9649724	3	5	4	1	5	6	2	9
359441.1837	1.9389511	3	6	4	2	4	6	6	8
359443.6424	2.0389239	3	7	1	1	9	6	6	9
359446.2311	1.8790361	3	8	1	2	1	6	3	8
359448.4599	1.9592598	3	9	5	1	5	6	9	9
359450.7688	1.9190046	3	10	2	2	3	6	2	7
359453.2375	2.0490806	3	11	7	2	11	3	1	1
359455.8162	1.8993487	3	12	3	2	2	6	2	4
359458.0651	1.849055	3	13	6	2	6	1	9	5
359460.4639	1.8590125	3	14	3	1	10	2	4	4
359462.8027	1.8990001	3	15	2	1	2	6	8	3
359465.0516	2.0189537	3	16	2	1	8	6	9	7
359467.5503	1.8690041	3	17	2	1	8	3	10	6
359469.9291	1.9689881	3	18	7	1	2	5	5	3
359472.3879	1.8590309	3	19	7	1	4	2	6	4
359474.7669	1.8588274	3	20	1	1	5	4	3	3
359477.1255	1.8592861	3	21	3	2	10	2	7	3
359479.5143	1.8190568	3	22	7	2	2	2	3	2
359481.873	1.7691046	3	23	5	2	3	3	8	10
359484.1722	1.8087647	3	24	7	2	4	1	7	7
359486.4907	1.7990512	3	25	2	1	2	4	10	3
359488.6396	1.9290116	3	26	4	1	6	5	2	3
359491.1184	2.0789155	3	27	6	2	5	6	10	11
359493.6874	2.0785925	3	28	7	1	10	4	11	11
359496.2658	1.9391024	3	29	3	2	4	6	5	5
359498.7945	1.9989764	3	30	4	1	7	6	6	6
359501.1434	2.1091701	3	31	7	2	9	5	9	9
359503.9219	1.7890408	3	32	1	2	9	1	5	9
359506.4307	2.0289413	3	33	1	2	11	5	5	4
359508.9494	1.8993156	3	34	2	2	7	4	10	7
359511.3382	1.8989896	3	35	2	1	2	6	3	11
359513.7673	1.9786566	3	36	4	2	11	4	5	1
359516.2561	1.8986609	3	37	1	2	7	4	5	4
359518.6548	1.7990776	3	38	4	2	2	4	8	3
359521.0433	1.8390415	3	39	6	1	3	2	3	2
359523.4121	2.0389434	3	40	3	2	9	6	4	2
359526.0208	1.7990498	3	41	3	2	2	4	2	9
359528.33	1.8486542	3	42	3	2	7	3	2	5
359530.7084	1.8890245	3	43	6	1	3	3	4	8
359533.0972	1.8090909	3	44	6	2	4	1	3	4
359535.446	1.8390859	3	45	3	1	4	4	4	3
359537.7752	1.7687555	3	46	2	2	8	1	4	7
359539.8938	1.8990297	3	47	1	1	2	6	4	5
359542.2726	1.8390197	3	48	3	1	4	4	9	1
359544.5914	1.8290401	3	49	4	1	11	1	7	2
359546.9106	1.9786306	3	50	4	2	11	4	4	10
359549.389	1.9489575	3	51	6	1	1	5	5	4
359551.8178	1.8890251	3	52	5	2	4	5	8	11
359554.3568	1.8687002	3	53	5	2	3	5	6	4
359556.8052	1.8790603	3	54	5	1	11	2	5	3
359559.3442	1.8488216	3	55	7	1	6	1	9	3
359561.7228	1.8690206	3	56	1	1	8	3	4	11
359564.0916	1.9489728	3	57	6	2	1	5	9	11
359566.6503	1.9792654	3	58	2	2	6	6	7	2
359569.159	2.098897	3	59	7	1	6	6	11	1
