onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
12286.62148	1.7157461	4	1	5	1	6	1	11	3
12288.70722	1.8688872	4	2	2	1	6	4	10	4
12291.06601	1.818881	4	3	1	1	6	3	8	5
12293.3648	1.9391989	4	4	6	1	9	3	2	3
12295.81482	2.1077045	4	5	6	2	10	6	7	3
12298.43212	1.719037	4	6	7	2	3	1	4	3
12300.50102	1.7792468	4	7	4	2	4	3	8	1
12302.79987	1.9189582	4	8	7	2	3	5	6	9
12305.06872	1.868994	4	9	1	1	11	2	11	4
12307.46749	1.8390417	4	10	5	2	2	5	5	7
12309.83663	1.8186964	4	11	3	2	1	5	1	11
12312.17509	1.8790334	4	12	1	2	4	5	6	1
12314.58386	1.7590749	4	13	6	2	5	1	5	11
12316.69279	1.6593868	4	14	4	2	3	1	11	7
12318.86168	2.0488564	4	15	7	2	7	6	9	4
12321.45033	1.7390883	4	16	6	2	4	1	9	9
12323.71916	1.8490516	4	17	5	1	5	4	1	11
12325.91806	1.7290603	4	18	6	2	1	2	1	8
12328.1869	1.6191394	4	19	3	1	1	1	2	7
12330.15589	2.028923	4	20	5	1	9	6	1	4
12332.69463	1.8293013	4	21	4	1	4	4	11	8
12335.19336	1.7790649	4	22	5	2	4	3	6	10
12337.49219	1.859012	4	23	1	1	8	3	4	1
12339.86097	1.8090442	4	24	2	1	3	4	2	11
12342.01989	1.9090075	4	25	3	2	3	6	3	9
12344.42868	1.8393372	4	26	3	1	2	5	1	2
12346.75747	1.7790678	4	27	4	1	4	3	9	3
12349.0463	1.8090496	4	28	6	1	5	2	1	8
12351.20519	1.9489487	4	29	7	2	7	4	6	7
12353.6439	2.0489383	4	30	4	1	10	6	4	11
12356.25262	1.9489517	4	31	6	1	2	6	1	8
12358.72134	1.7791015	4	32	6	2	6	1	9	8
12361.01018	1.71907	4	33	5	2	1	3	1	10
12363.07913	1.7890204	4	34	1	2	2	4	9	9
12365.37795	1.9689641	4	35	2	2	11	4	3	5
12367.87671	2.0189928	4	36	1	2	11	5	2	7
12370.50534	1.859045	4	37	4	2	8	3	1	2
12372.90414	1.8490406	4	38	1	2	5	4	4	8
12375.26293	1.8390184	4	39	1	2	7	3	2	3
12377.45182	1.7991025	4	40	7	2	7	1	8	4
12379.77061	1.8090873	4	41	1	1	8	2	11	9
12382.41928	2.128878	4	42	7	2	11	6	6	9
12385.06796	1.9293125	4	43	7	1	1	6	10	1
12387.5067	2.0089544	4	44	6	2	10	4	10	5
12390.08539	1.8290407	4	45	1	1	9	2	7	8
12392.2643	1.8889919	4	46	5	1	7	4	6	7
12394.65305	1.8990429	4	47	1	1	5	5	3	3
12397.06218	2.008622	4	48	7	2	10	4	5	8
12399.42065	2.0188877	4	49	2	2	11	5	7	6
12401.99934	1.9889514	4	50	2	1	7	6	3	5
12404.33816	1.8989863	4	51	3	1	10	3	3	5
12406.58698	1.8290615	4	52	3	1	9	2	3	1
12408.76587	1.8493888	4	53	4	1	5	4	6	3
12411.40457	1.7590681	4	54	3	2	3	3	11	9
12413.69339	1.9789258	4	55	6	1	6	5	11	2
12416.24209	1.8790221	4	56	6	1	1	5	4	4
12418.69085	1.769078	4	57	4	1	1	4	2	6
12420.95968	1.7390789	4	58	6	1	4	1	3	10
12423.23852	1.8990101	4	59	4	1	10	3	2	9
12425.71724	1.699066	4	60	4	2	5	1	4	10
12427.94612	1.9489476	4	61	5	1	5	6	1	9
12430.40486	1.7790997	4	62	4	1	4	3	6	3
12432.74401	1.9086267	4	63	6	2	10	2	5	1
12435.19243	1.7291019	4	64	4	2	4	2	4	3
12437.27174	1.7187358	4	65	4	1	6	1	4	4
12439.66018	1.7290807	4	66	4	2	4	2	10	11
12442.19888	1.7490964	4	67	6	1	2	2	7	8
12444.29782	1.7790071	4	68	3	2	9	1	7	6
12446.84645	1.8390712	4	69	3	1	7	3	4	3
12449.22524	1.989048	4	70	7	2	4	6	11	1
12451.85395	1.6191626	4	71	5	1	1	1	2	3
12454.02286	1.9889384	4	72	3	2	7	6	1	6
12456.5116	1.9589476	4	73	7	1	5	5	6	10
12459.04031	1.6191236	4	74	5	2	1	1	6	6
12461.00931	1.9489851	4	75	1	2	10	4	11	7
12463.43808	1.8989967	4	76	6	2	7	3	3	3
12465.71692	1.869024	4	77	2	1	6	4	8	6
12467.96577	1.8990027	4	78	2	2	5	5	11	1
12470.36451	1.9689944	4	79	2	1	11	4	10	2
12473.0132	2.0289135	4	80	3	1	9	6	3	8
12475.79175	1.8790367	4	81	7	1	11	1	2	4
12478.18057	1.6691088	4	82	2	1	1	2	8	4
12480.35945	1.6990985	4	83	7	1	2	1	4	3
12482.54835	1.8290503	4	84	7	1	1	4	11	6
12485.14703	1.9489244	4	85	5	1	5	6	3	5
12487.61571	1.8990163	4	86	3	2	10	3	2	8
12490.02476	1.868793	4	87	5	2	11	2	3	2
12492.38333	1.7990896	4	88	7	1	2	3	6	3
12494.72216	2.0189277	4	89	3	1	11	5	5	8
12497.23088	2.0689522	4	90	5	1	11	6	9	1
12499.6496	1.8890702	4	91	1	1	7	4	11	4
12502.03841	1.7891008	4	92	1	1	7	2	8	9
12504.45718	1.918988	4	93	2	2	6	5	7	2
12506.86599	2.0189534	4	94	4	2	11	5	6	6
12509.46466	1.899016	4	95	6	2	7	3	10	10
12511.94339	1.9892707	4	96	2	1	7	6	8	7
12514.46211	1.8190079	4	97	5	2	6	3	3	9
12516.85087	1.9489967	4	98	1	2	5	6	10	3
12519.36963	1.8990015	4	99	1	2	10	3	9	4
12521.61848	1.8690122	4	100	2	2	11	2	10	3
12524.04722	1.8790215	4	101	2	2	9	3	4	6
12526.27609	1.8689996	4	102	1	2	11	2	5	7
12528.82484	2.0088611	4	103	5	2	8	6	2	5
12531.67373	1.9789304	4	104	6	1	6	5	2	5
12534.00219	1.7590674	4	105	7	1	5	1	5	5
12536.30099	1.819065	4	106	2	2	6	3	4	10
12538.61981	1.7691071	4	107	2	1	1	4	9	1
12540.89867	1.8193298	4	108	3	2	6	3	7	6
12543.20748	1.8992455	4	109	7	1	7	3	1	8
12545.60638	2.0489208	4	110	2	1	10	6	11	8
12548.16499	1.9289978	4	111	3	2	9	4	6	3
12550.76367	1.9290033	4	112	2	2	9	4	4	11
12553.19243	1.8890005	4	113	5	2	7	4	4	1
12555.4313	1.7490593	4	114	1	1	5	2	8	1
12557.67055	1.6989868	4	115	3	2	5	1	9	9
