onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
3881.179175	1.5561348	1	1	1	1	11	3	2	7
3883.275186	1.3791263	1	2	5	1	3	2	7	6
3885.194295	1.5790057	1	3	5	2	11	4	1	11
3887.453216	1.4190828	1	4	6	1	1	3	5	2
3889.413479	1.5379987	1	5	7	1	8	2	7	9
3891.31118	1.5391784	1	6	6	2	9	1	7	8
3893.400113	1.5393725	1	7	2	1	11	2	6	1
3895.339178	1.6591573	1	8	7	2	11	5	7	1
3897.35818	1.3593232	1	9	3	1	1	3	9	3
3899.267273	1.6191788	1	10	4	2	11	6	10	9
3901.236308	1.3393634	1	11	2	2	1	2	7	7
3903.115405	1.4992369	1	12	3	2	8	3	1	9
3904.964514	1.5592049	1	13	1	2	10	4	4	8
3907.063476	1.5192573	1	14	4	1	9	3	7	5
