,onset,duration,run_number,trial_number,trial_sequence,saccade_direction,fixation_duration,post_stim_duration,spatial_jitter_x,spatial_jitter_y,trial_onset,trial_offset,check_fix_onset,fix_onset,fix_offset,s1_onset,s1_offset,s2_onset,s2_offset,s3_onset,s3_offset,fix_duration,s1_duration,s2_duration,s3_duration,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,jitter_x_trial,jitter_y_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial
450,20763.92371,1.6191843,4,31,1,1,1,1,1,8,6107913.0,6109532.0,0.0,6107921.0,6108522.0,6108122.0,6108122.0,0.0,0.0,0.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.291534276231758,-7.660370624321564,6.528449614762979,6.25498857575647,6108732.0,6108765.0,33.0,269.4250555907659,5.375796189628547,5.300474973729974,3.090701752269786,210.0,3.087362033917177,-2.5,1.0000000000000002,1.0,-2.291534276231758,-7.660370624321564,6.528449614762979,6.25498857575647,6108732.0,6108765.0,33.0,269.4250555907659,5.375796189628547,5.300474973729974,3.090701752269786,3.087362033917177
451,20765.89274,1.8989813,4,32,4,1,10,3,4,8,6109882.0,6111781.0,0.0,6109890.0,6110772.0,6110272.0,6110272.0,0.0,0.0,0.0,0.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9138444847812434,-5.053836923411426,6.455757439837198,4.828837334355438,6110932.0,6110987.0,55.0,270.68957543822427,4.448191365210794,4.826344139441264,2.7671555661148357,160.0,2.7717411742657214,-1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,20768.14159,1.9589617,4,33,4,1,8,5,9,9,6112131.0,6114090.0,0.0,6112139.0,6113080.0,6112481.0,6112481.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4919203520481683,-2.2257651655846193,6.5492188075989155,5.2615288517708,6113244.0,6113297.0,53.0,291.30392041746717,3.934378099567603,4.467187359345306,2.8081564875533838,164.0,2.797786852499636,1.5000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,20770.62033,1.839033,4,34,1,1,7,3,3,4,6114608.0,6116448.0,0.0,6114619.0,6115439.0,6114939.0,6114939.0,0.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3430744700572814,-6.019604390282512,4.475761056144503,3.9911465566392974,6115613.0,6115667.0,54.0,274.92801197400513,4.701572429293468,5.281105881807546,3.038334272928224,174.0,3.023335144450714,-1.5000000000000002,-1.0000000000000002,1.0,-1.3430744700572814,-6.019604390282512,4.475761056144503,3.9911465566392974,6115613.0,6115667.0,54.0,274.92801197400513,4.701572429293468,5.281105881807546,3.038334272928224,3.023335144450714
454,20772.80924,1.9489906,4,35,7,1,7,4,5,4,6116798.0,6118747.0,0.0,6116807.0,6117738.0,6117128.0,6117128.0,6117158.0,6117158.0,6117188.0,6117188.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1349997534335921,-3.873454463902318,4.416915009776014,3.4788398000195087,6117953.0,6117999.0,46.0,230.85605225295063,3.854351919763622,4.547818309095412,2.895742720807548,215.0,2.897906217914226,-0.5000000000000001,-1.0000000000000002,1.0,-0.1349997534335921,-3.873454463902318,4.416915009776014,3.4788398000195087,6117953.0,6117999.0,46.0,230.85605225295063,3.854351919763622,4.547818309095412,2.895742720807548,2.897906217914226
455,20775.238,1.8689994,4,36,4,2,11,2,7,7,6119226.0,6121096.0,0.0,6119237.0,6120087.0,6119637.0,6119638.0,0.0,0.0,0.0,0.0,850.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,20777.71674,1.7490918,4,37,5,2,5,2,3,9,6121706.0,6123455.0,0.0,6121714.0,6122446.0,6121996.0,6121996.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,20779.81569,1.8490632,4,38,4,2,5,4,8,9,6123805.0,6125654.0,0.0,6123813.0,6124644.0,6124095.0,6124095.0,0.0,0.0,0.0,0.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,20782.02463,2.0488712,4,39,7,2,7,6,8,9,6126012.0,6128062.0,0.0,6126023.0,6127053.0,6126343.0,6126343.0,6126373.0,6126373.0,6126403.0,6126403.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2565361665742092,3.8457622067877324,6.5146034862056865,5.811912461923139,6126830.0,6126881.0,51.0,248.56503094027835,2.682883926472977,3.0479905979947524,0.26500728347041036,-223.0,0.28906367384240667,1.0000000000000002,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,20784.91345,1.8487118,4,40,4,2,5,4,5,2,6128901.0,6130751.0,0.0,6128913.0,6129741.0,6129192.0,6129192.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.996921256124992,2.5199953974270657,2.388457176132797,2.0042271086679553,6130248.0,6130287.0,39.0,166.946919498933,1.5707920246318687,1.8480335249434534,0.24711655404396496,507.0,0.25951648483826456,-0.5000000000000001,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
