onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
9079.586121	1.9392807	1	1	1	1	7	5	10	7
9081.875399	1.6989897	1	2	4	1	5	1	10	4
9084.064324	1.978895	1	3	2	1	9	5	1	2
9086.553057	1.9491627	1	4	5	2	5	6	5	9
9089.022914	1.6680812	1	5	2	2	1	2	8	11
9091.050679	1.8389853	1	6	5	2	7	3	9	11
9093.239538	1.9591099	1	7	6	2	5	5	8	5
9095.698304	1.9290071	1	8	7	2	6	4	9	1
9098.187043	1.9789751	1	9	1	2	9	5	4	3
9100.665807	1.699536	1	10	7	2	2	1	4	4
9102.954655	1.9689892	1	11	6	1	3	6	5	9
9105.433409	1.8392637	1	12	3	1	7	3	2	1
9107.80222	1.7191087	1	13	5	1	1	3	5	4
9110.081079	1.889026	1	14	5	1	7	4	2	6
9112.529825	1.9490024	1	15	1	2	5	6	4	8
9114.978622	1.7190675	1	16	5	2	6	1	10	2
9117.227486	1.9789681	1	17	4	2	9	5	11	9
9119.796184	2.1289025	1	18	7	1	11	6	4	6
9123.164474	1.7091188	1	19	3	1	3	2	11	10
9125.223475	2.0489565	1	20	1	1	10	6	6	7
9127.622275	1.7890772	1	21	5	2	2	4	5	5
9129.761243	1.7790444	1	22	4	1	4	3	4	6
9131.890143	1.7990609	1	23	6	2	2	3	3	6
9134.169004	1.759079	1	24	3	1	3	3	1	5
9136.747759	1.9389544	1	25	4	2	7	5	10	1
9139.036554	1.9494268	1	26	2	2	5	6	9	1
9142.994578	1.7390943	1	27	5	2	7	1	2	9
9145.143481	1.9290306	1	28	5	1	9	4	4	6
9210.95048	1.9090045	1	29	7	1	5	4	2	7
9213.40952	1.6888888	1	30	1	2	2	2	5	10
9215.68838	1.8787831	1	31	7	1	6	3	4	2
9218.217157	1.8787216	1	32	7	2	11	1	2	7
9220.555701	2.1089197	1	33	6	2	10	6	5	3
9223.134407	1.8290603	1	34	2	1	4	4	1	1
9225.313299	1.8590541	1	35	3	1	3	5	3	2
9227.832315	1.9687071	1	36	3	1	11	4	7	5
9230.330798	1.7990458	1	37	1	1	5	3	7	5
9233.309307	2.0089538	1	38	3	2	8	6	11	7
9235.828196	1.7789323	1	39	2	2	9	1	4	9
9238.146896	1.9090082	1	40	5	2	8	4	11	7
9240.405787	2.0391994	1	41	6	1	9	5	11	4
9243.094406	2.0289608	1	42	7	1	6	6	6	8
9245.473212	1.7990964	1	43	4	2	10	1	7	7
9247.62215	1.8190292	1	44	2	2	1	5	11	5
9250.03095	2.088898	1	45	6	1	9	6	1	10
9252.949489	1.8890168	1	46	3	2	2	6	5	3
9255.188471	1.8989089	1	47	4	2	5	5	2	2
9257.867025	1.8790256	1	48	7	2	11	1	10	11
9260.185864	1.6892727	1	49	4	2	2	2	7	8
9262.384919	1.7189	1	50	4	2	1	3	1	4
9264.803538	1.829047	1	51	4	2	9	2	7	10
9266.982408	1.9490133	1	52	5	1	5	6	6	5
9269.281304	1.6691332	1	53	2	1	1	2	2	5
