onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
8921.780226	2.005696	2	1	7	1	5	6	10	2
8924.145912	1.8288961	2	2	4	1	4	4	4	1
8926.484737	1.9487945	2	3	6	1	2	6	3	6
8928.973483	1.8389134	2	4	5	1	7	3	5	10
8931.32332	1.8780276	2	5	6	2	11	1	4	4
8933.760938	1.9690262	2	6	2	2	11	4	2	8
8936.199621	2.0189487	2	7	5	1	11	5	5	11
8938.738334	1.879018	2	8	1	1	4	5	10	7
8941.12716	1.9089939	2	9	3	1	8	4	2	1
8943.585902	1.7790403	2	10	3	2	4	3	1	9
8945.714825	1.9090068	2	11	2	1	8	4	7	7
8948.153587	1.8090222	2	12	1	2	8	2	11	3
8950.522344	1.9489912	2	13	2	2	5	6	2	9
8953.02108	1.7191014	2	14	4	1	6	1	2	8
8955.239991	1.7590429	2	15	5	2	3	3	7	2
8957.478837	1.7990412	2	16	6	1	2	3	10	2
8959.917584	2.0489177	2	17	2	1	10	6	10	11
8962.616194	2.0789217	2	18	7	1	11	5	9	10
8965.204901	1.9989624	2	19	6	1	7	5	1	4
8967.704117	1.6986395	2	20	3	2	5	1	4	5
8970.012443	1.8090534	2	21	5	2	8	2	6	5
8972.341318	1.9789276	2	22	7	2	11	3	8	1
8975.009923	2.0089256	2	23	6	1	10	4	1	6
8977.698554	1.9689801	2	24	4	2	11	4	10	1
8980.267294	2.0489161	2	25	6	2	7	6	6	3
8982.666057	1.9290123	2	26	6	2	11	2	11	1
8985.144818	1.7090704	2	27	3	2	3	2	10	6
8987.383641	1.8190558	2	28	1	2	1	5	5	2
8989.552563	1.9889591	2	29	1	2	7	6	9	3
8992.081661	1.758727	2	30	1	2	3	3	3	5
8994.20022	1.8590102	2	31	6	2	5	3	10	5
8996.539037	1.9289604	2	32	6	1	1	6	11	10
8998.817847	1.9689732	2	33	5	1	6	6	7	7
9001.276633	1.948927	2	34	5	2	5	6	4	2
9003.915295	1.9389567	2	35	7	1	4	5	6	4
9006.503946	1.8090653	2	36	4	2	3	4	6	7
9009.02268	1.7291252	2	37	6	2	1	2	10	6
9011.371503	1.7190618	2	38	3	1	6	1	4	8
9013.580376	1.739077	2	39	3	2	2	3	5	8
9015.959173	1.9489628	2	40	1	1	5	6	11	10
9018.457857	1.8690413	2	41	1	1	6	4	3	8
9020.786689	1.7191222	2	42	7	2	3	1	1	9
9023.125543	2.0689036	2	43	6	2	8	6	7	2
9026.024068	1.8690393	2	44	4	2	6	4	10	6
9028.412872	1.9289834	2	45	4	2	9	4	1	4
9030.691701	2.0089702	2	46	5	2	8	6	5	5
9033.170427	1.8190204	2	47	1	2	1	5	5	3
9035.519204	1.8190837	2	48	6	2	8	1	10	1
9037.848049	1.9789747	2	49	7	1	11	3	10	1
9040.176869	1.7890689	2	50	2	1	7	2	9	3
9042.545658	1.8790376	2	51	5	2	4	5	3	8
9044.934494	1.9189638	2	52	7	1	3	5	4	5
9047.203306	1.8690352	2	53	4	1	1	6	3	3
9049.612123	1.9889667	2	54	2	2	7	6	2	6
9052.120849	1.9689238	2	55	3	2	6	6	1	3
9054.43967	1.9589247	2	56	4	1	8	5	9	2
9056.758497	1.7990291	2	57	6	1	2	3	2	1
9059.11727	1.9989425	2	58	2	1	10	5	9	6
9061.46617	1.9688693	2	59	1	1	11	4	3	4
9063.934843	1.9889495	2	60	3	1	7	6	11	4
9066.643467	1.8590163	2	61	2	2	3	5	9	4
9069.132204	1.7790168	2	62	6	1	1	3	10	10
9071.261063	1.6391932	2	63	3	1	2	1	4	4
9073.839797	1.8190629	2	64	5	1	6	3	8	8
