onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
345279.3186	1.8556131	1	1	4	1	2	5	9	1
345281.7041	2.0088164	1	2	7	2	4	5	6	6
345284.0629	1.6490053	1	3	5	2	2	1	3	4
345286.062	1.7889878	1	4	1	1	9	1	1	1
345288.412	2.1478203	1	5	6	1	11	5	2	8
345291.0994	1.7696508	1	6	1	2	8	1	9	10
345293.3982	1.7391313	1	7	4	1	4	2	2	11
345295.7371	1.8591242	1	8	2	2	10	2	6	5
345298.136	1.7191371	1	9	3	2	3	2	4	7
345300.205	1.749219	1	10	2	1	7	1	3	1
345302.4839	1.8690565	1	11	3	2	8	3	6	9
345304.7028	1.9490152	1	12	2	2	7	5	4	9
345307.2216	1.7091571	1	13	3	2	5	1	1	2
345309.5004	1.9790015	1	14	7	1	5	4	9	2
345312.0092	1.829104	1	15	4	2	1	5	8	9
345314.3881	1.8590718	1	16	4	2	5	4	5	3
345316.7469	1.7191349	1	17	3	1	3	2	3	5
345318.9758	2.0789833	1	18	5	1	11	6	8	7
345321.4047	1.9990191	1	19	6	1	11	2	9	8
345323.7535	2.0389964	1	20	3	2	9	6	9	4
345326.3223	1.8590719	1	21	2	1	5	4	7	4
345328.7311	1.8290603	1	22	1	1	1	5	3	2
345331.08	1.8790393	1	23	5	2	1	6	9	2
345333.5088	1.8290931	1	24	2	2	11	1	8	9
345335.8876	2.0589614	1	25	7	1	9	4	7	6
345338.5363	1.9390328	1	26	1	1	4	6	2	4
345340.8252	1.8889899	1	27	5	1	9	3	4	1
345343.244	1.8390408	1	28	2	2	9	2	9	5
345345.5929	1.749128	1	29	5	1	7	1	3	2
345347.9518	1.9194451	1	30	2	2	3	6	4	6
345350.3806	2.0789491	1	31	4	2	11	6	9	3
345352.8094	2.0389536	1	32	3	1	9	6	11	3
345355.3881	2.0389794	1	33	6	1	3	6	7	1
345357.7769	1.9389544	1	34	2	2	9	4	8	3
345360.2856	1.8190459	1	35	1	1	8	2	4	6
345362.6244	1.8290087	1	36	4	2	6	3	10	6
345365.0032	1.8789538	1	37	6	1	5	2	4	10
345367.4719	2.0589204	1	38	2	2	10	6	9	3
345370.0406	1.7690603	1	39	3	2	3	3	10	5
345372.1596	1.9889176	1	40	7	2	8	3	10	5
345374.7083	1.7790603	1	41	2	1	6	2	3	8
345377.0571	1.9589748	1	42	1	2	5	6	1	2
345379.5658	2.0193149	1	43	7	1	7	4	11	1
345382.0645	1.7490503	1	44	1	2	2	3	9	5
345384.3436	1.7590671	1	45	2	2	5	2	6	10
345386.4524	1.948827	1	46	3	2	7	5	9	9
345388.7511	1.7390815	1	47	5	1	4	2	4	3
345391.0099	1.9089452	1	48	4	1	5	5	11	8
345393.4487	1.6790687	1	49	5	2	1	2	7	4
345395.4776	1.7491159	1	50	7	1	1	1	7	6
345397.5866	2.1589017	1	51	6	2	9	6	7	8
345400.0953	1.8190539	1	52	3	2	8	2	3	6
345402.4841	1.9589451	1	53	6	1	9	2	10	5
345404.9928	2.0389305	1	54	3	2	9	6	6	2
345407.5715	1.9889124	1	55	6	2	3	5	3	4
345410.1102	1.7390684	1	56	3	2	4	2	8	6
345412.419	1.9689496	1	57	6	1	7	3	2	11
345414.9478	1.8690029	1	58	4	2	3	5	4	2
345417.3965	1.8290444	1	59	1	1	11	1	8	9
345419.8356	1.8687001	1	60	5	2	8	3	3	1
345422.244	1.8289881	1	61	7	1	5	1	6	3
345424.4229	1.6691616	1	62	5	2	3	1	3	2
345426.6718	2.008891	1	63	7	1	4	5	9	1
345429.0306	1.829323	1	64	4	1	11	1	11	1
345431.4093	1.8989735	1	65	2	1	7	4	10	7
345433.6582	2.0189025	1	66	6	2	2	6	6	8
345436.1469	1.9789819	1	67	5	1	11	4	3	3
345438.6957	1.849033	1	68	4	1	7	3	4	2
345440.8949	1.628814	1	69	3	1	1	1	6	3
345443.1334	1.9689863	1	70	5	2	8	5	7	9
345445.4522	1.9989564	1	71	6	2	1	6	5	9
345447.801	1.878994	1	72	1	2	11	2	11	4
345450.2298	2.0889158	1	73	6	1	8	5	6	4
345452.9084	1.8490224	1	74	7	2	6	1	10	6
345455.3772	1.9989063	1	75	6	2	6	4	2	3
345457.9358	1.9090165	1	76	1	2	10	3	7	10
345460.1947	1.8790206	1	77	5	1	11	2	11	7
345462.4236	1.869023	1	78	5	2	3	5	8	5
345464.8623	1.9090037	1	79	3	1	10	3	3	10
345467.3011	1.8189856	1	80	2	1	8	2	3	5
345469.6999	1.9589723	1	81	3	1	5	6	2	8
345472.1886	1.9190011	1	82	5	1	8	4	10	11
345474.6774	2.0788904	1	83	6	2	5	6	6	2
345477.346	1.7990419	1	84	3	1	2	4	8	9
345479.6848	1.9289946	1	85	5	1	6	5	8	2
345482.1035	1.7290961	1	86	1	1	1	3	3	9
345484.3524	1.9988965	1	87	4	1	7	6	8	10
345486.9011	2.0189837	1	88	7	2	7	4	6	1
345489.5897	1.9090798	1	89	1	1	10	3	5	6
345491.8586	1.9190215	1	90	3	1	8	4	10	5
