onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
350104.8354	1.8156594	3	1	1	1	3	4	5	5
350107.141	1.6289969	3	2	4	2	1	1	11	5
350109.2799	1.928859	3	3	7	1	10	1	5	1
350111.7487	2.0287893	3	4	1	2	11	5	1	11
350114.3184	1.8986123	3	5	7	2	6	2	9	2
350116.7264	1.9186967	3	6	4	1	8	4	6	9
350119.1547	1.8090431	3	7	7	1	4	1	11	9
350121.4836	1.7690401	3	8	3	2	8	1	8	4
350123.7624	1.8690317	3	9	5	1	3	5	3	1
350126.1512	1.7590812	3	10	2	1	5	2	8	9
350128.43	1.7690614	3	11	1	2	8	1	9	2
350130.7588	1.978984	3	12	1	1	11	4	5	7
350133.2376	1.9590276	3	13	6	2	4	4	11	4
350135.7263	1.7990479	3	14	2	1	2	4	9	3
350138.0251	2.0090783	3	15	3	2	10	5	11	10
350140.5838	1.7391117	3	16	1	2	4	2	2	4
350142.8427	2.0988517	3	17	6	2	11	4	11	5
350145.4513	1.9289949	3	18	2	1	6	5	3	4
350147.8901	1.7990547	3	19	2	2	7	2	2	5
350150.2989	1.8689728	3	20	7	2	7	1	4	11
350152.6977	1.7291347	3	21	3	1	6	1	6	5
350154.9266	1.9389794	3	22	3	1	4	6	10	2
350157.4153	1.879004	3	23	3	2	11	2	2	5
350159.8141	1.7890711	3	24	4	2	9	1	10	9
350162.0929	2.0789517	3	25	4	1	11	6	5	10
350164.6616	1.6991277	3	26	4	1	2	2	5	11
350166.9305	1.9389818	3	27	6	1	8	2	10	4
350169.3593	1.8590188	3	28	5	2	10	2	11	5
350171.768	1.8190656	3	29	5	2	8	2	3	8
350174.0869	1.9589785	3	30	6	1	4	4	4	9
350176.5656	1.699141	3	31	4	2	2	2	10	8
350178.9944	1.8090499	3	32	3	1	10	1	4	11
350181.3532	1.9689322	3	33	6	1	7	3	5	2
350183.8319	2.128876	3	34	7	1	10	5	6	6
350186.3107	1.7190579	3	35	4	2	3	2	7	6
350188.5695	1.6991604	3	36	4	2	2	2	3	1
350190.7584	1.7890182	3	37	5	1	9	1	8	3
350193.1075	1.7487514	3	38	3	1	7	1	5	7
350195.3461	1.6890894	3	39	3	1	4	1	9	6
350197.525	1.9989597	3	40	1	1	7	6	2	6
350199.9137	1.8390425	3	41	6	2	3	2	4	7
350202.2526	2.0592315	3	42	5	2	10	6	9	6
350204.8212	1.9390053	3	43	5	2	4	6	6	2
350207.2601	1.729079	3	44	4	2	6	1	6	5
350209.6288	1.8290461	3	45	3	2	6	3	6	11
350212.0077	2.0588365	3	46	7	2	4	6	2	4
350214.4164	1.9289969	3	47	1	2	11	3	2	3
350216.8652	1.8089948	3	48	4	1	5	3	9	11
350219.114	1.7989913	3	49	3	1	7	2	8	5
350221.4228	1.8390574	3	50	3	2	4	4	5	10
350223.7717	1.7393659	3	51	5	2	4	2	7	4
350225.8706	1.9989209	3	52	6	2	11	2	10	1
350228.4193	1.9589889	3	53	2	1	5	6	3	7
350230.888	1.8490604	3	54	4	1	7	3	11	10
350233.3168	1.839044	3	55	2	2	9	2	8	1
350235.7656	1.8293004	3	56	2	1	6	3	10	10
350237.9444	1.9290389	3	57	3	1	6	5	7	7
350240.3532	1.9489769	3	58	5	1	7	5	8	7
350242.8519	1.7990831	3	59	1	1	7	2	4	9
350245.1708	1.8290503	3	60	7	2	5	1	7	11
350247.3497	1.9789796	3	61	1	2	11	4	11	7
350249.8285	1.7490319	3	62	1	1	7	1	10	7
350251.9273	1.9789977	3	63	3	2	11	4	5	5
350254.4261	1.6493705	3	64	2	2	2	1	1	1
350256.605	1.8289849	3	65	4	1	1	5	7	11
350258.9438	1.7690454	3	66	6	1	2	1	7	8
350261.0627	2.0289771	3	67	6	1	5	5	1	4
350263.5914	2.1988863	3	68	6	1	11	6	7	1
350266.3101	1.7191064	3	69	3	2	3	2	10	4
350268.5789	1.9190087	3	70	7	2	2	4	7	11
350271.0377	1.9689676	3	71	6	2	7	3	3	7
350273.5064	2.1988766	3	72	6	1	11	6	3	10
