onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
349099.6359	1.6956259	1	1	1	1	4	1	5	8
349101.9015	2.1586897	1	2	7	1	9	6	11	3
349104.6101	1.888822	1	3	5	1	9	3	4	5
349106.9988	1.7489375	1	4	5	2	2	3	10	7
349109.2589	1.9678044	1	5	6	2	7	3	2	5
349111.5764	1.79965	1	6	3	2	7	2	5	6
349113.7252	1.6991155	1	7	2	2	2	2	6	6
349115.8442	1.8090638	1	8	2	1	5	3	6	5
349118.153	1.6491358	1	9	2	2	2	1	11	2
349120.3122	2.108549	1	10	7	1	9	5	1	11
349122.9506	2.0589354	1	11	1	2	10	6	4	8
349125.5295	1.8686733	1	12	3	1	8	3	1	1
349127.928	1.9089906	1	13	1	2	10	3	1	11
349130.3268	2.0789242	1	14	6	2	5	6	7	11
349132.9055	1.978966	1	15	7	2	5	4	10	11
349135.2343	1.9589782	1	16	2	1	10	4	7	7
349137.5431	1.8190246	1	17	1	2	8	2	7	6
349140.0718	1.9190047	1	18	1	2	8	4	2	4
349142.4906	1.8590238	1	19	3	1	10	2	1	7
349144.9194	1.889002	1	20	5	2	4	5	9	7
349147.1682	1.8290608	1	21	7	1	5	1	4	9
349149.4771	1.8290366	1	22	4	1	11	1	1	6
349151.8758	1.9189892	1	23	4	1	3	6	9	4
349154.2846	1.8390377	1	24	1	1	4	4	4	8
349156.6434	1.8590523	1	25	6	1	4	2	8	1
349159.0622	1.8493802	1	26	5	1	2	5	9	11
349161.421	2.0288992	1	27	3	1	11	5	8	7
349163.9401	1.8286964	1	28	2	2	6	3	11	10
349166.5285	2.0488609	1	29	7	1	11	3	11	2
349169.0871	2.1388796	1	30	6	1	8	6	5	9
349171.7461	1.9586567	1	31	7	2	4	4	5	4
349174.2248	1.878637	1	32	1	1	11	2	10	1
349176.6133	2.0689195	1	33	6	1	7	5	2	3
349179.3519	2.1591053	1	34	7	2	9	6	8	7
349181.9909	2.0686089	1	35	6	2	7	5	5	7
349184.4993	1.9589621	1	36	3	2	10	4	7	6
349187.028	1.8490418	1	37	1	1	2	5	5	1
349189.3868	1.829084	1	38	1	2	11	1	10	8
349191.6959	2.0286031	1	39	1	2	11	5	10	2
349194.2343	2.0189058	1	40	5	2	8	6	8	8
349196.743	1.8290511	1	41	5	2	1	5	2	10
349199.0818	1.7391186	1	42	4	1	4	2	8	3
349201.4407	2.0289733	1	43	4	2	11	5	10	9
349204.2092	1.749154	1	44	2	2	7	1	6	9
349206.578	1.8190354	1	45	7	1	2	2	4	2
349208.8769	1.8091502	1	46	2	2	5	3	9	4
349211.1857	1.8390685	1	47	2	2	4	4	8	9
349213.5145	2.1789289	1	48	6	1	10	6	7	9
349216.2731	1.9789457	1	49	1	2	6	6	11	8
349218.8021	1.9287258	1	50	1	2	6	5	3	5
349221.2306	1.978959	1	51	5	1	11	4	5	3
349223.8093	2.0289042	1	52	7	2	5	5	10	6
349226.468	2.1788553	1	53	6	1	10	6	7	11
349229.1466	1.9889443	1	54	7	1	3	5	5	4
349231.4954	1.749077	1	55	4	1	2	3	11	1
349233.7343	1.7790755	1	56	5	1	1	4	6	1
349236.1131	2.0491554	1	57	7	1	6	5	2	9
349238.6917	1.7491005	1	58	3	1	7	1	6	4
349240.9406	2.0089277	1	59	1	1	10	5	8	5
349243.4593	2.0889171	1	60	6	2	8	5	3	9
349246.048	1.6491557	1	61	1	1	2	1	1	6
349248.1769	1.94897	1	62	7	2	1	5	5	5
349250.5757	1.8989964	1	63	4	2	7	4	6	5
349252.9645	1.9289744	1	64	1	1	6	5	4	1
349255.4732	1.7690589	1	65	4	2	8	1	3	4
349257.7621	1.8790027	1	66	6	1	5	2	8	4
349260.1508	1.7290836	1	67	1	1	1	3	2	6
349262.4597	1.8290476	1	68	5	1	1	5	2	11
349264.8284	2.0289259	1	69	5	2	11	5	7	4
349267.3772	1.9989487	1	70	3	1	7	6	4	2
349269.8959	1.8190142	1	71	2	1	3	4	7	7
349272.2147	1.8889892	1	72	2	1	4	5	4	4
349274.5935	1.7893452	1	73	5	1	4	3	6	2
349277.0223	1.9389618	1	74	3	2	9	4	3	10
349279.3111	1.9689602	1	75	2	2	8	5	10	5
349281.8099	2.0189492	1	76	2	1	8	6	6	1
349284.3785	2.0789529	1	77	5	1	11	6	8	3
349286.9872	1.7290853	1	78	4	2	1	3	1	7
349289.2761	2.0389283	1	79	7	1	8	4	3	6
349291.8548	1.8890108	1	80	4	1	4	5	4	5
349294.3135	1.989007	1	81	4	1	9	5	7	1
349296.8322	2.0189479	1	82	4	2	8	6	1	5
349299.5612	1.9286084	1	83	3	2	11	3	2	9
349301.8397	1.8490072	1	84	7	1	6	1	2	8
349304.2884	2.0388926	1	85	4	1	9	6	11	8
349306.8171	1.8690263	1	86	6	1	2	3	3	10
349309.2959	1.8790082	1	87	5	2	6	4	9	10
349311.6847	1.7890561	1	88	4	1	4	3	2	6
349314.0935	1.7390771	1	89	2	1	4	2	10	9
349316.3423	1.9489216	1	90	5	2	7	5	3	10
349318.841	1.9289635	1	91	6	2	5	3	10	8
349321.3198	1.9492056	1	92	5	1	7	5	1	7
349323.7985	1.8790428	1	93	1	1	6	4	9	10
349326.2073	1.7693298	1	94	4	2	8	1	8	6
349328.4861	1.7690456	1	95	3	1	3	3	8	9
349330.6051	1.8689984	1	96	6	2	7	1	1	9
349333.0638	2.0588703	1	97	6	2	4	6	4	5
349335.6228	1.869115	1	98	4	2	3	5	6	5
349338.0413	1.9189749	1	99	5	2	8	4	4	11
349340.4801	1.6694793	1	100	3	2	3	1	9	5
349342.649	2.098924	1	101	6	1	6	6	9	1
349345.2577	1.6991098	1	102	4	1	2	2	3	5
349347.5465	1.869114	1	103	7	2	2	3	10	9
349349.9653	1.7890653	1	104	3	2	9	1	11	1
349352.2841	1.7290511	1	105	1	1	1	3	9	7
349354.373	1.6894079	1	106	3	2	4	1	1	6
349356.5919	2.0289403	1	107	2	1	11	5	10	6
349359.2206	1.7091153	1	108	2	2	5	1	11	5
349361.5993	2.1088866	1	109	6	2	9	5	7	7
349364.7777	1.7690439	1	110	1	2	8	1	1	9
349366.8966	1.8390589	1	111	3	1	9	2	4	9
349369.2355	2.1288752	1	112	7	2	10	5	8	1
349371.9741	2.0789284	1	113	5	1	11	6	9	3
349374.6827	2.0789213	1	114	7	2	5	6	8	11
349377.4413	1.9189886	1	115	7	2	2	4	11	11
349379.97	1.8490471	1	116	4	1	2	5	10	3
349382.1689	1.9089464	1	117	7	2	4	3	3	2
349384.4278	1.8189943	1	118	2	2	3	4	9	3
349387.0065	1.6491591	1	119	4	2	2	1	6	9
349390.0353	1.9786237	1	120	3	1	6	6	4	10
349392.8435	1.8792404	1	121	5	2	11	2	8	10
349395.2922	1.8090627	1	122	3	2	10	1	2	4
349397.6311	2.0588646	1	123	5	2	10	6	1	4
349400.2398	1.908918	1	124	3	2	5	5	6	1
349402.6585	1.8990027	1	125	2	1	2	6	4	3
349405.1173	1.8592592	1	126	3	1	5	4	10	8
349407.4663	1.8288454	1	127	6	1	5	1	8	1
349410.6644	2.0289467	1	128	4	2	11	5	5	2
349413.463	2.0789251	1	129	1	2	11	6	9	6
349415.9917	1.9689771	1	130	6	2	7	3	7	2
349418.5004	1.9389806	1	131	3	1	4	6	4	5
349421.0491	1.8093951	1	132	7	1	4	1	2	8
349423.4679	2.0689444	1	133	6	2	7	5	2	8
349426.2865	1.9589792	1	134	2	1	5	6	7	6
349428.5954	1.8390331	1	135	3	2	9	2	3	2
349431.0041	1.8490244	1	136	5	1	7	3	11	10
349433.203	1.9589815	1	137	6	1	9	2	5	4
349435.6917	1.719066	1	138	4	2	3	2	4	10
349437.9206	2.0089599	1	139	2	1	10	5	4	1
349440.5293	1.8294492	1	140	2	2	11	1	4	6
