onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
96965.31177	1.9758103	4	1	5	2	6	6	5	10
96967.83724	1.6789399	4	2	5	1	4	1	10	10
96969.86619	1.8988593	4	3	6	1	7	3	2	3
96972.6348	1.8688353	4	4	3	2	1	6	5	8
96975.07471	1.7779414	4	5	7	2	1	3	3	3
96977.20254	1.8188045	4	6	6	1	3	3	11	2
96979.5711	1.6792814	4	7	2	1	4	1	7	10
96981.81995	1.9390129	4	8	6	1	4	5	10	1
96984.2987	1.8690312	4	9	7	2	8	2	3	10
96986.77744	2.0289721	4	10	7	2	11	4	8	5
96989.34616	1.8890239	4	11	4	2	2	6	1	6
96991.80492	1.7590854	4	12	1	1	8	1	3	8
96994.13376	1.7590706	4	13	5	1	3	3	2	8
96996.45257	1.9190273	4	14	7	2	8	3	9	6
96998.87136	1.9689844	4	15	4	1	6	6	11	3
97001.39009	1.9789759	4	16	3	1	9	5	5	9
97003.9188	2.0189603	4	17	4	1	11	5	7	8
97006.5275	1.9889301	4	18	4	2	7	6	2	1
97008.86631	1.9789454	4	19	7	1	6	5	10	5
97011.3452	1.8288937	4	20	3	2	9	2	1	4
97013.74383	1.7091098	4	21	3	2	3	2	1	7
97015.8128	1.8690367	4	22	5	2	1	6	7	6
97018.25157	1.8290316	4	23	4	1	4	4	2	7
97020.65036	1.9092238	4	24	1	2	8	4	10	8
97023.0791	1.8790274	4	25	6	2	11	1	3	6
97025.50789	1.8290161	4	26	4	2	9	2	9	2
97027.86671	1.8889756	4	27	4	1	7	4	2	5
97030.30543	1.8190625	4	28	5	1	1	5	3	11
97032.68424	1.8990436	4	29	1	1	10	3	6	11
97035.15303	1.7390677	4	30	3	1	2	3	1	6
97037.44185	2.0889588	4	31	6	1	9	6	6	8
97039.88065	2.0589168	4	32	6	2	10	5	5	7
97042.49933	1.7790602	4	33	1	2	4	3	3	7
97044.82814	1.9190111	4	34	1	2	6	5	5	3
97047.09699	1.86902	4	35	2	2	6	4	6	8
97049.49576	1.8590423	4	36	1	2	3	5	2	4
97051.90454	1.8290993	4	37	2	2	9	2	4	10
97054.0836	1.9788415	4	38	6	2	11	3	2	10
97056.41229	2.1089127	4	39	7	1	10	6	5	7
97058.87105	1.9490056	4	40	2	1	5	6	2	3
97061.3698	1.9289919	4	41	7	1	1	6	9	6
97063.80856	1.789079	4	42	6	2	4	2	11	1
97066.11737	1.8693689	4	43	6	2	3	4	2	7
97068.55617	2.04893	4	44	7	1	7	6	11	4
97071.1948	1.829075	4	45	3	1	9	2	10	9
97073.63359	1.6191444	4	46	4	2	1	1	2	1
97075.81253	1.9189532	4	47	1	1	11	3	6	9
97078.29124	2.0689382	4	48	5	1	11	6	5	6
97080.82996	1.9593324	4	49	4	2	8	5	3	3
97083.13879	2.0389653	4	50	7	2	9	5	6	3
97085.56758	1.79906	4	51	1	1	5	3	4	3
97087.92637	1.8490477	4	52	3	1	10	2	10	11
97090.12525	1.739156	4	53	3	1	2	3	2	9
97092.64398	1.7590899	4	54	2	2	3	3	6	5
97094.95284	1.7394163	4	55	6	2	4	1	2	4
97097.26168	1.8490538	4	56	5	2	10	2	7	8
97099.67046	1.8690064	4	57	4	2	11	2	1	4
97102.09923	1.7594413	4	58	2	2	3	3	8	7
97104.21816	1.9789762	4	59	1	1	9	5	9	8
97106.54699	1.8993134	4	60	2	1	10	3	4	5
97108.96578	1.7690875	4	61	3	1	6	2	8	5
97111.08469	1.739101	4	62	3	2	7	1	1	2
97113.37353	1.7091302	4	63	5	2	3	2	5	7
97115.64239	1.8490417	4	64	7	1	2	4	9	11
97118.0412	1.9689811	4	65	5	2	11	4	7	7
97120.53994	1.9189921	4	66	6	1	8	3	7	3
97123.04864	1.8190765	4	67	6	1	3	3	4	7
97125.4076	2.0487699	4	68	4	1	10	6	10	6
97128.02612	1.9190091	4	69	3	1	11	3	1	7
97130.57484	1.7391029	4	70	4	1	2	3	11	5
97132.84371	1.9689788	4	71	1	1	6	6	4	9
97135.35246	1.8390128	4	72	7	1	9	1	8	9
97137.7716	1.88865	4	73	3	1	7	4	11	4
97140.20999	1.8793058	4	74	6	1	11	1	6	7
97142.65876	1.7690991	4	75	5	1	1	4	8	10
97145.03758	1.8690192	4	76	5	2	1	6	9	7
97147.56627	1.8692458	4	77	2	1	11	2	6	10
97150.03502	1.9189898	4	78	3	2	6	5	10	3
97152.52378	1.849085	4	79	1	1	5	4	1	5
97154.86262	2.1088989	4	80	6	2	10	6	2	7
97157.56126	2.0589363	4	81	6	2	10	5	6	1
97160.15992	1.6391811	4	82	3	2	2	1	4	10
97162.35882	1.9290115	4	83	2	2	9	4	7	2
97164.63768	1.8290412	4	84	1	1	9	2	7	1
97166.8166	1.8790101	4	85	7	2	11	1	6	3
97169.31534	1.9290095	4	86	6	1	11	2	7	9
97171.74411	2.0289319	4	87	7	1	11	4	6	3
97174.12287	1.9493116	4	88	4	1	5	6	6	1
97176.56198	1.6588141	4	89	5	1	3	1	9	3
