,trial_sequence,median_tq,mean_land_tq,id
1,1,304.0,4.586545022953387,17
0,2,190.0,4.2433278094078615,17
1,2,300.0,4.173211434013521,17
0,3,231.0,3.7796316967514074,17
1,3,323.5,3.849431266477813,17
0,4,216.0,3.4731858546068786,17
1,4,353.0,3.2943038231256456,17
0,5,234.0,2.9134399866910554,17
1,5,316.0,2.780731690777964,17
0,6,198.0,3.4209416030396453,17
1,6,304.0,3.2746450993376945,17
0,7,153.0,4.050169432569783,17
1,7,303.5,3.9647037352669745,17
0,1,-106.0,4.207507833790126,18
1,1,145.0,3.938016565466302,18
0,2,-133.0,3.7848651588444366,18
1,2,153.0,3.4472047001951256,18
0,3,-99.5,3.3291606623180487,18
1,3,106.0,3.297408685026238,18
0,4,-56.0,2.8713019262664603,18
1,4,193.0,2.358622378889309,18
0,5,-45.0,2.3500168928020697,18
1,5,186.5,1.8370269652163524,18
0,6,-123.0,2.775445512859311,18
1,6,151.5,2.6432102408510834,18
0,7,-161.0,3.454313686302884,18
1,7,134.0,3.4528658233284517,18
0,1,198.0,4.263968766141187,19
1,1,355.0,4.364157417473291,19
0,2,89.5,3.915161769543307,19
1,2,323.5,3.9107850918947924,19
0,3,211.0,3.5646085887605015,19
1,3,380.0,3.675385852728007,19
0,4,185.0,3.256772802046621,19
1,4,376.0,2.9825484535568556,19
0,5,197.5,2.8487118135345924,19
1,5,353.0,2.6654939441846,19
0,6,16.0,3.2621049987933177,19
1,6,302.0,3.173738279173156,19
0,7,77.0,3.9908850604933535,19
1,7,289.0,3.8139864679795306,19
0,1,-193.5,4.252963326304419,20
1,1,124.0,4.253427214059246,20
0,2,-104.0,3.9495276706930613,20
1,2,195.0,3.893242291828737,20
0,3,-85.0,3.6697111245184657,20
1,3,130.0,3.5159548262802214,20
0,4,-137.0,3.346229565047813,20
1,4,110.5,3.1944540899722336,20
0,5,-120.5,2.822369388559518,20
1,5,196.0,2.776187614590725,20
0,6,-215.5,3.544344373921554,20
1,6,126.5,3.3579987316480095,20
0,7,-231.5,3.7942320424377747,20
1,7,141.0,3.8079902774578223,20
