onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
102181.0157	1.8857055	5	1	3	1	2	6	2	7
102183.5513	1.9088713	5	2	3	2	3	6	4	3
102186.0901	1.838829	5	3	1	2	7	3	3	4
102188.2889	1.9188666	5	4	7	1	8	3	11	5
102190.7787	1.7680459	5	5	2	2	6	2	8	7
102193.1264	1.71924	5	6	7	1	3	1	4	7
102195.4152	1.8590482	5	7	5	1	3	5	5	11
102197.844	1.9589998	5	8	7	2	10	3	7	11
102200.3527	2.0589496	5	9	6	2	10	5	3	5
102202.9314	1.8690461	5	10	3	1	1	6	11	9
102205.3002	1.9689958	5	11	1	2	6	6	3	5
102207.6191	1.9690194	5	12	1	2	6	6	6	5
102210.1978	1.6691492	5	13	2	1	1	2	5	2
102212.4167	1.8590263	5	14	7	2	10	1	6	4
102214.6256	1.7890663	5	15	5	2	7	2	6	5
102216.7645	1.8693773	5	16	6	2	8	2	11	1
102219.2632	1.978996	5	17	4	2	9	5	8	2
102221.8719	1.7590828	5	18	1	2	8	1	6	6
102224.2707	1.8690681	5	19	6	1	8	2	8	10
102226.6496	1.749097	5	20	7	1	2	2	6	10
102228.7585	1.8890299	5	21	2	2	2	6	1	11
102230.9974	1.8889672	5	22	5	1	7	4	7	11
102233.5061	1.8390258	5	23	1	1	2	5	5	4
102235.705	1.9290386	5	24	5	2	4	6	6	5
102238.1938	1.958943	5	25	2	1	8	5	2	6
102240.7225	1.8590562	5	26	6	2	5	3	1	1
102243.1015	1.7988366	5	27	2	2	5	3	10	8
102245.4501	1.9090305	5	28	4	2	3	6	4	7
102248.0488	1.8290303	5	29	3	1	9	2	4	3
102250.4676	1.8490575	5	30	2	1	10	2	6	8
102252.7965	2.028961	5	31	4	2	9	6	3	11
102255.1753	1.9893806	5	32	1	1	7	6	8	8
102257.5141	1.9290228	5	33	5	1	4	6	5	9
102260.1131	1.808783	5	34	1	2	8	2	9	3
102262.4916	1.899015	5	35	1	1	10	3	8	3
102264.9603	2.0089718	5	36	5	2	8	6	1	7
102267.619	1.9090062	5	37	3	1	8	4	2	4
102270.1478	1.7690796	5	38	5	2	6	2	9	1
102272.4166	1.8190615	5	39	3	2	11	1	9	4
102274.8055	1.9190002	5	40	5	1	11	3	6	2
102277.2842	1.819083	5	41	4	2	1	5	6	8
102279.643	1.7491025	5	42	1	2	5	2	6	6
102281.9419	1.8190381	5	43	7	1	8	1	4	6
102284.2607	1.8191854	5	44	4	2	11	1	7	10
102286.6695	2.0689033	5	45	7	1	8	6	3	4
102289.2482	1.8091037	5	46	5	2	8	2	4	2
102291.5974	1.9489799	5	47	1	1	10	4	9	11
102294.1758	2.0189507	5	48	5	2	11	5	1	4
102296.8247	2.1286293	5	49	6	1	11	6	10	2
102299.9729	1.8890336	5	50	4	1	7	4	11	11
102302.2121	1.8187125	5	51	4	1	1	5	3	5
102304.9703	1.9090174	5	52	3	1	8	4	11	3
102307.4991	2.0492122	5	53	5	2	10	6	6	7
102309.8979	1.6991335	5	54	3	1	5	1	9	3
102312.2267	2.0189366	5	55	5	1	11	5	10	2
102314.8754	1.8890326	5	56	2	2	2	6	11	3
102317.3146	1.7486537	5	57	7	2	2	2	10	10
102319.623	1.7690754	5	58	3	2	1	4	8	10
102321.9818	1.9389886	5	59	5	1	7	5	8	6
102324.4906	1.7391101	5	60	2	1	2	3	9	9
102326.7494	1.9090084	5	61	3	2	8	4	5	7
102329.2282	1.7990807	5	62	1	1	10	1	6	2
102331.637	1.8190893	5	63	2	1	1	5	8	10
102334.3359	1.7588098	5	64	1	1	8	1	8	3
102336.6645	1.8490797	5	65	6	2	7	2	4	10
102338.8734	2.0589336	5	66	6	2	10	5	5	10
102341.2822	1.8390521	5	67	5	1	2	5	8	6
102343.681	1.8290212	5	68	4	1	9	2	2	6
102346.0398	1.929009	5	69	6	2	11	2	1	7
102348.5185	1.9290106	5	70	6	1	11	2	1	3
102351.4671	1.9489966	5	71	6	1	2	6	8	6
102353.9658	1.9889851	5	72	7	1	9	4	5	11
102356.6645	1.9090388	5	73	4	2	3	6	2	5
102359.2232	1.7790988	5	74	3	2	9	1	9	5
102361.7619	1.9789776	5	75	2	2	9	5	5	3
102364.2707	1.7990787	5	76	2	1	10	1	7	5
102366.5895	1.8990198	5	77	6	2	7	3	5	2
102369.1082	1.9592646	5	78	2	1	8	5	9	7
102371.4171	1.9390142	5	79	6	2	4	5	3	6
102373.7059	1.8690535	5	80	2	2	6	4	7	7
102376.1451	1.8986612	5	81	7	2	7	3	4	5
102378.5935	1.8090719	5	82	1	2	8	2	5	4
102380.9823	1.9590114	5	83	6	1	10	3	4	10
102383.491	1.9589955	5	84	6	1	5	5	5	11
102386.0198	1.9090198	5	85	4	1	8	4	7	3
102388.4885	1.8790535	5	86	6	1	11	1	9	8
102390.9773	1.8094602	5	87	7	2	5	2	2	1
102393.1362	1.8290544	5	88	7	2	1	4	8	1
102395.505	1.8390558	5	89	4	1	2	5	10	4
102397.8739	2.008968	5	90	7	2	10	4	10	4
102400.2327	1.988949	5	91	6	2	4	6	10	2
102402.7714	1.8290748	5	92	7	1	6	2	2	1
102405.1802	1.9589942	5	93	6	1	5	5	1	9
102407.9088	1.6691423	5	94	3	1	1	2	7	8
102410.0877	1.8290801	5	95	3	1	9	2	6	8
102412.5465	1.968949	5	96	4	2	11	4	9	2
102415.0752	1.8192789	5	97	1	1	11	1	10	5
102417.454	1.6791721	5	98	2	2	4	1	3	7
102419.483	1.8690594	5	99	5	2	1	6	8	10
102422.0717	1.9992894	5	100	7	2	7	5	5	4
102424.4119	1.9277213	5	101	4	1	4	6	7	1
102426.9093	1.9989775	5	102	4	2	10	5	9	9
102429.498	1.8990411	5	103	5	1	10	3	1	10
102431.8968	1.7790837	5	104	5	1	9	1	3	10
102434.1857	1.8594395	5	105	1	2	3	5	3	10
