onset	duration	run_number	trial_number	trial_sequence	saccade_direction	fixation_duration	post_stim_duration	spatial_jitter_x	spatial_jitter_y
101798.5073	1.7857286	4	1	6	1	4	2	7	3
101800.8829	1.8589004	4	2	7	1	10	1	3	9
101803.3118	1.7592479	4	3	1	2	8	1	10	10
101805.6306	1.9488176	4	4	4	2	10	4	9	11
101808.1504	1.7380751	4	5	1	1	2	3	6	3
101810.478	1.9089144	4	6	5	2	3	6	10	10
101812.9367	1.8690724	4	7	4	1	11	2	2	5
101815.4155	1.8590495	4	8	1	2	3	5	5	9
101817.9242	1.8490476	4	9	4	2	10	2	6	9
101820.353	2.0089543	4	10	3	2	8	6	1	6
101823.0117	1.829061	4	11	4	2	9	2	2	10
101825.1906	1.7490987	4	12	2	1	5	2	9	10
101827.5094	1.7491319	4	13	1	2	5	2	7	8
101829.6084	1.8689909	4	14	3	2	6	4	9	7
101832.0572	1.8490405	4	15	3	1	10	2	2	7
101834.476	1.6991266	4	16	5	1	5	1	3	1
101836.6849	1.6991157	4	17	2	2	5	1	2	6
101838.9437	1.8490541	4	18	2	2	5	4	11	9
101841.5424	1.8393503	4	19	1	2	7	3	8	7
101844.0512	1.978984	4	20	4	1	9	5	4	10
101846.6199	1.6591732	4	21	4	2	3	1	2	2
101848.7688	1.9689882	4	22	1	1	11	4	1	1
101851.3375	1.7591002	4	23	3	1	3	3	6	1
101853.6663	1.86904	4	24	2	2	11	2	5	10
101856.2051	2.0095112	4	25	6	2	5	6	7	3
101858.8837	2.0589508	4	26	7	2	10	5	3	5
101861.4824	1.6791004	4	27	6	2	1	1	9	8
101864.0611	1.9389953	4	28	6	2	4	5	3	5
101866.6698	1.8890829	4	29	6	2	9	2	8	10
101869.1686	1.869026	4	30	7	2	3	4	7	6
101871.6773	1.8190781	4	31	7	1	3	3	7	9
101874.0861	1.899019	4	32	3	1	5	5	4	6
101876.6848	1.8090768	4	33	2	2	8	2	3	9
101879.034	1.8786402	4	34	6	1	1	5	3	8
101881.6024	1.8590431	4	35	3	2	8	3	2	6
101883.8112	1.8193903	4	36	1	2	6	3	9	3
101886.29	1.9789657	4	37	3	2	9	5	8	8
101888.8088	1.8790248	4	38	2	2	4	5	8	11
101891.2975	1.639539	4	39	2	1	2	1	7	9
101893.6363	1.9889667	4	40	7	2	9	4	6	1
101896.205	1.7291202	4	41	1	1	4	2	11	3
101898.294	1.8590566	4	42	4	2	3	5	3	3
101900.7628	1.8389897	4	43	1	1	7	3	5	9
101903.4414	1.8190613	4	44	1	2	6	3	11	3
101905.8402	1.8890289	4	45	1	1	7	4	7	11
101908.3289	1.9390274	4	46	2	1	7	5	9	9
101910.8576	1.9090367	4	47	7	2	5	4	8	3
101913.4364	1.7091188	4	48	2	1	3	2	6	6
101915.7452	1.929012	4	49	6	1	6	4	4	6
101918.274	1.8490381	4	50	5	1	5	4	5	1
101921.4024	2.1089099	4	51	6	2	10	6	4	9
101924.121	1.6791427	4	52	6	1	1	1	7	6
101926.3199	1.6791457	4	53	7	2	1	1	10	5
101928.6588	1.8190542	4	54	5	2	6	3	10	4
101931.008	1.8187028	4	55	7	1	8	1	1	6
101933.4564	1.8293837	4	56	1	1	4	4	1	4
101935.8951	1.6891026	4	57	2	1	2	2	7	8
101938.204	1.7793354	4	58	6	1	6	1	7	3
101940.6028	1.9190168	4	59	7	2	8	3	8	2
101943.0915	1.7493983	4	60	5	2	5	2	3	7
101945.2005	1.8290591	4	61	6	1	6	2	10	5
101947.6493	1.7690618	4	62	7	1	3	2	9	4
101950.048	1.8690249	4	63	3	2	1	6	3	8
101952.4768	1.9290422	4	64	4	1	4	6	1	5
101954.9556	1.9489887	4	65	3	1	10	4	11	3
101957.4943	1.7790837	4	66	5	2	4	3	4	11
101959.6232	1.8190702	4	67	1	2	6	3	8	7
101962.092	1.9789689	4	68	3	1	9	5	8	6
101964.7207	1.7890835	4	69	4	2	7	2	11	7
101967.1295	1.789068	4	70	4	1	7	2	10	3
101969.4184	1.8494612	4	71	5	2	10	2	9	1
101971.7672	1.8490658	4	72	3	2	10	2	1	5
101974.146	1.8890301	4	73	1	1	7	4	10	8
101976.6047	1.8192522	4	74	7	1	8	1	3	7
101979.1235	2.0691804	4	75	2	2	11	6	4	3
101982.122	1.7190995	4	76	5	1	1	3	6	6
101984.4608	1.9789732	4	77	2	1	9	5	5	3
101987.0895	1.6893975	4	78	3	1	2	2	2	8
101989.4483	1.7690548	4	79	1	1	6	2	8	9
101991.7971	1.759098	4	80	7	1	5	1	11	7
101994.1359	1.7391041	4	81	1	1	2	3	11	5
101996.5148	1.7990595	4	82	1	2	5	3	3	9
101998.6637	1.8290438	4	83	2	1	9	2	8	10
102001.1224	1.8290567	4	84	3	2	4	4	9	3
102003.5513	1.8390411	4	85	2	2	2	5	1	6
102005.7402	1.7391014	4	86	5	2	7	1	8	1
102008.159	1.8689841	4	87	3	1	11	2	11	10
102010.3778	1.7095661	4	88	5	1	3	2	8	9
102012.8566	1.948999	4	89	6	2	2	6	10	5
102015.3653	2.0489601	4	90	6	2	7	6	6	4
102019.1235	1.9789351	4	91	6	2	6	5	4	9
102021.7422	1.7690567	4	92	4	2	1	4	7	6
102024.121	1.7890655	4	93	4	1	2	4	11	6
102026.5597	1.8690653	4	94	2	2	6	4	8	10
102029.0385	1.8290575	4	95	2	1	4	4	5	8
102031.4673	1.8290502	4	96	3	2	4	4	8	10
102034.086	1.699138	4	97	5	2	5	1	1	1
102036.3948	1.7193894	4	98	5	1	6	1	9	9
102038.7236	1.9991294	4	99	5	2	10	5	11	1
102041.3026	1.9287332	4	100	3	1	9	4	11	6
