,trial_sequence,median_tq,mean_land_tq,id
2,5,341.0,1.4869099908701695,11
0,6,222.5,2.3960073851206665,11
1,6,270.0,2.242688439901317,11
2,6,335.0,2.342028898235663,11
0,7,112.0,2.9927369006599727,11
1,7,245.5,2.8693965701429214,11
2,7,320.0,2.7852026898479196,11
0,1,-234.5,3.033410803025333,12
1,1,-74.5,3.2259335592965113,12
2,1,167.0,3.3976406384276734,12
0,2,-243.0,2.877709649357748,12
1,2,-118.0,2.896602935153193,12
2,2,15.0,2.6145760593590834,12
0,3,-217.0,1.9289081213540413,12
1,3,-83.0,2.248366934259024,12
2,3,207.0,2.3627898559159237,12
0,4,-239.0,1.7204537597230527,12
1,4,-80.0,1.5430973155957717,12
2,4,193.0,1.9332901377583709,12
0,5,-239.0,1.117756069806242,12
1,5,-111.0,1.0339677865640604,12
2,5,57.0,1.416480355375733,12
0,6,-296.0,1.7774287192085896,12
1,6,-183.0,1.8146822493686763,12
2,6,14.0,1.8496465876525259,12
0,7,-292.5,2.64781575289466,12
1,7,-169.0,2.433511543156605,12
2,7,89.0,2.724006353020631,12
0,1,-365.0,4.313485102696042,13
1,1,-225.5,4.010025145842098,13
2,1,-134.0,4.074508045152376,13
0,2,-348.0,3.886747733582947,13
1,2,-238.0,3.8328546841683093,13
2,2,-114.0,3.7740086377998203,13
0,3,-343.0,3.7288243241113315,13
1,3,-235.5,3.3916441420514634,13
2,3,-59.0,3.4648650480140817,13
0,4,-343.0,3.208584073616082,13
1,4,-241.0,3.124793941552348,13
2,4,-146.0,2.7473194366581573,13
0,5,-363.0,2.7615703956742146,13
1,5,-278.0,2.4089575952956888,13
2,5,-161.0,2.8573795335877423,13
0,6,-444.5,2.9200638698868415,13
1,6,-288.0,3.341763456057531,13
2,6,-183.0,3.148798175110996,13
0,7,-467.0,3.4761290600405172,13
1,7,-310.0,3.793307872706138,13
2,7,-202.0,3.7744077215352587,13
0,1,-118.0,3.6573557226651547,14
1,1,153.0,3.718353152100965,14
2,1,380.0,3.724438737808914,14
0,2,-75.5,3.3182249827176014,14
1,2,148.0,3.473967313918812,14
2,2,313.5,3.5262025791804095,14
0,3,-83.0,2.896861380961596,14
1,3,198.0,3.1050832969474973,14
2,3,322.5,3.205838007402075,14
0,4,-71.0,2.5364588864160176,14
1,4,217.0,2.9065464605189493,14
2,4,332.5,2.902609261338867,14
0,5,-64.0,2.1311225139137697,14
1,5,210.0,2.3769467859516613,14
2,5,355.0,2.3953947221575373,14
0,6,-147.0,2.682212562822507,14
1,6,189.5,3.1373407890247638,14
2,6,305.5,2.980468763181361,14
0,7,-104.5,3.120654701692401,14
1,7,180.0,3.275167715434833,14
2,7,302.5,3.4563759843536976,14
0,1,-67.0,4.93584274180679,15
1,1,145.0,5.170782260507931,15
2,1,256.0,4.852944579245435,15
0,2,-44.0,4.4024735255577685,15
1,2,207.0,4.492612101057182,15
2,2,250.5,4.263850943248539,15
0,3,-29.0,4.288751619436214,15
1,3,188.0,4.107427969377576,15
2,3,239.5,4.019338904161563,15
0,4,-44.5,3.7959263176073024,15
1,4,192.0,3.909339561671982,15
2,4,244.0,3.7061039629943213,15
0,5,-89.0,3.3792114724510625,15
1,5,205.0,3.2963011239471993,15
2,5,249.5,3.192165314798625,15
0,6,-130.5,3.858190382620175,15
1,6,98.5,3.897024703148211,15
2,6,253.0,3.847850515866767,15
0,7,-166.0,4.297312968520676,15
1,7,115.0,4.3208666840821355,15
2,7,239.0,4.211862270910758,15
0,1,198.0,5.410573474898817,16
1,1,258.0,5.435429241680581,16
2,1,340.5,5.2169927071584,16
0,2,228.0,5.049627396154424,16
1,2,273.0,4.940635689095197,16
2,2,343.0,4.690892661814108,16
0,3,224.0,4.57558646374216,16
1,3,263.0,4.655713332583892,16
2,3,361.0,4.374747005567285,16
0,4,222.5,4.0777073770790935,16
1,4,283.0,4.0913439000278276,16
2,4,342.0,3.9755868124219274,16
0,5,227.0,3.508746948071988,16
1,5,269.0,3.5289831401466216,16
2,5,469.0,3.309352819394746,16
0,6,229.0,4.440979760427232,16
1,6,283.0,4.284662373613625,16
2,6,389.0,4.052639173533137,16
0,7,224.0,4.932682768284788,16
1,7,270.0,4.7786836711243605,16
2,7,336.0,4.55582534732137,16
0,1,190.0,4.700573313223224,17
1,1,273.5,4.673389204724,17
2,1,352.0,4.495728809302206,17
0,2,55.0,4.145662665063307,17
1,2,254.0,4.353385092376376,17
2,2,325.0,4.122248706602137,17
0,3,179.0,3.6334670470707895,17
1,3,278.0,3.992405046542074,17
2,3,342.5,3.821927462409328,17
0,4,145.0,3.571299115339546,17
1,4,277.0,3.2848540573140173,17
2,4,406.0,3.297791677755544,17
0,5,216.0,2.973672967117089,17
1,5,272.0,2.709287472710961,17
2,5,358.0,2.854213620621203,17
0,6,52.0,3.4482268711760766,17
1,6,258.0,3.339126308822629,17
2,6,319.0,3.2533682844627414,17
0,7,5.0,4.043453735944356,17
1,7,261.0,4.05387137761013,17
2,7,321.0,3.9225595809736613,17
0,1,-181.0,4.212099159086897,18
1,1,19.0,4.138582717500843,18
2,1,198.0,3.867413417076204,18
0,2,-154.5,3.7328081582018586,18
1,2,16.0,3.8522454505128096,18
2,2,201.5,3.281462123040934,18
0,3,-161.0,3.4395456468498065,18
1,3,9.5,3.229064120533723,18
2,3,125.0,3.2712442536329007,18
0,4,-90.5,2.9315169295111025,18
1,4,66.0,2.5347774629619386,18
2,4,205.0,2.3648288140896034,18
0,5,-98.0,2.5542885191678515,18
1,5,26.5,2.156966871862235,18
2,5,202.5,1.5607990782323053,18
0,6,-167.0,2.7581925258624387,18
1,6,-22.0,2.7942263386886492,18
2,6,187.0,2.5790446415936676,18
0,7,-196.0,3.3391857066670334,18
1,7,-9.0,3.6298463718768352,18
2,7,172.0,3.3792051234834655,18
0,1,105.5,4.279020013218975,19
1,1,271.0,4.338793281852536,19
2,1,450.0,4.325377211167013,19
0,2,26.0,3.964311362541307,19
1,2,236.5,3.9503412000163722,19
2,2,381.0,3.8222886964374347,19
0,3,135.5,3.3772771715995056,19
1,3,279.0,3.8230821412578297,19
2,3,429.5,3.6642478583919846,19
0,4,109.0,3.2369613393717582,19
1,4,265.0,3.1390612293396245,19
2,4,431.0,2.9875626316286192,19
0,5,107.0,2.6685880198994347,19
1,5,261.0,3.0040507899213913,19
2,5,414.0,2.6092497281872378,19
0,6,-57.5,3.1855141141543903,19
1,6,225.0,3.3871151072065464,19
2,6,371.0,3.0923718913850022,19
0,7,12.0,3.944055724560604,19
1,7,229.0,4.05000574639182,19
2,7,351.0,3.711903242391607,19
0,1,-278.5,4.212862974116636,20
1,1,2.5,4.281055979149319,20
2,1,233.5,4.266557684929379,20
0,2,-165.0,3.8756159529310064,20
1,2,22.0,3.9835472261893283,20
2,2,233.5,3.909303244463097,20
0,3,-148.5,3.694724295071288,20
1,3,15.0,3.659289391143876,20
2,3,213.0,3.429263058811654,20
0,4,-207.0,3.428454489409188,20
1,4,-15.0,3.164609909108391,20
2,4,207.5,3.2085380632874605,20
0,5,-156.0,2.8163333125438164,20
1,5,45.0,2.8874945154779956,20
2,5,223.5,2.6942398334733872,20
0,6,-323.5,3.59184380202447,20
1,6,-47.0,3.3874339738055212,20
2,6,209.0,3.374236882524352,20
0,7,-328.5,3.8185148601638352,20
1,7,-59.0,3.8005459432178306,20
2,7,217.5,3.78427267646173,20
