,sac_t_y_landing,sac_y_landing,time_independant_sac,trial_sequence
123,-333.0,3.720764261507796,1.0,4
461,-323.0,3.7719134481887684,1.0,7
344,-306.0,1.8065369884622329,1.0,6
75,-270.0,3.7173027293684724,1.0,3
293,-255.0,3.9896071847017938,1.0,7
343,-218.0,3.6838439916484296,1.0,1
177,-211.0,2.2442294099544227,1.0,5
156,-195.0,3.3623042909557177,1.0,6
224,-185.0,3.373454463902318,1.0,7
342,-179.0,2.0746143351276016,1.0,6
45,-178.0,2.755379582901025,1.0,6
278,-145.0,3.7434556145455518,1.0,2
25,-143.0,3.539608006589817,1.0,1
13,-142.0,1.752309057906254,1.0,5
482,-132.0,3.2269217492578077,1.0,6
4,-126.0,0.3869260230755309,1.0,5
37,-112.0,2.811920680803376,1.0,2
240,-108.0,3.3549984384127565,1.0,5
176,-95.0,1.288846539501303,1.0,6
180,-83.0,3.4157584261028253,1.0,1
407,-78.0,1.342300674648413,1.0,5
170,-76.0,2.4161494332473805,1.0,4
777,-70.0,2.173842183494778,1.0,4
97,-65.0,3.948451587294235,1.0,7
171,-61.0,3.552305770354159,1.0,2
316,-53.0,1.799231135919274,1.0,5
635,-49.0,1.0776930790026056,1.0,5
682,-46.0,2.2161543645755213,1.0,3
705,-42.0,1.9653764597265342,1.0,6
653,-27.0,3.97115115921223,1.0,1
168,-24.0,4.500757357648396,1.0,7
379,-23.0,3.6676846957447644,1.0,7
255,-10.0,4.178843087571604,1.0,7
130,-9.0,2.697299113061167,1.0,3
223,-6.0,2.6884538885807023,1.0,3
108,-3.0,4.366531399623673,1.0,1
220,-2.0,3.6476810794374614,1.0,2
28,2.0,3.228452902315074,1.0,6
686,8.0,3.712684613555962,1.0,2
403,9.0,1.558463258104171,1.0,4
794,15.0,3.10922965652083,1.0,6
305,16.0,4.086530084602835,1.0,3
90,21.0,3.0169166535520615,1.0,7
625,33.0,2.1873055237877534,1.0,4
340,36.0,3.5249963015038936,1.0,1
377,37.0,3.1426883942408708,1.0,2
233,37.0,4.105377117236953,1.0,3
385,38.0,3.2269217492578077,1.0,5
448,40.0,3.525761878032527,1.0,7
812,42.0,4.1946031574504765,1.0,7
275,43.0,3.3665313996236725,1.0,6
257,51.0,3.882299688382785,1.0,1
700,54.0,2.253457422699205,1.0,7
101,55.0,4.189993260518206,1.0,7
8,57.0,3.332298866494761,1.0,2
65,60.0,3.7872989486835635,1.0,6
319,63.0,2.9099919454973664,1.0,7
330,63.0,1.6073074963190108,1.0,5
77,66.0,2.6499942467838338,1.0,5
620,66.0,2.3696101434986785,1.0,3
512,68.0,4.339995726182278,1.0,2
695,71.0,0.10308038765105598,1.0,5
29,75.0,1.4711511592122302,1.0,5
415,75.0,3.1134567651887854,1.0,6
267,81.0,2.0292316290520858,1.0,5
789,86.0,3.2892293277656184,1.0,2
751,86.0,3.6430711825051887,1.0,2
341,94.0,3.273843827270826,1.0,7
112,99.0,3.074614335127601,1.0,3
277,99.0,3.7096058696809564,1.0,7
749,101.0,2.9292217663958007,1.0,5
140,102.0,4.547296647397096,1.0,1
203,108.0,4.077302071858052,1.0,1
254,114.0,2.5884604636848927,1.0,6
542,122.0,3.15307299065884,1.0,2
334,124.0,2.8338382384322633,1.0,5
694,126.0,2.8438400465859166,1.0,6
583,129.0,4.368453559825492,1.0,1
236,135.0,4.172302811557274,1.0,1
164,137.0,2.735384185473955,1.0,5
263,152.0,2.747682723213509,1.0,5
442,156.0,4.092304784088531,1.0,1
444,156.0,3.276914352265594,1.0,3
728,157.0,3.783837416544239,1.0,3
310,162.0,3.9207593301796537,1.0,1
154,172.0,2.8849956439934736,1.0,3
460,175.0,4.190758837046838,1.0,1
364,176.0,2.704613184484368,1.0,5
775,178.0,1.7946130201067616,1.0,5
530,180.0,2.4588444025924434,1.0,3
766,183.0,2.5899916167421586,1.0,4
633,183.0,3.0569156672864315,1.0,6
520,186.0,4.115761713654921,1.0,2
608,186.0,3.6261463100728895,1.0,7
304,187.0,3.7242257936471175,1.0,3
430,187.0,2.4257602342564795,1.0,3
661,188.0,3.5046098969322728,1.0,2
235,188.0,4.065760891766897,1.0,2
533,188.0,4.261919858915352,1.0,1
153,189.0,2.60653370091014,1.0,6
308,190.0,3.3692273552343632,1.0,2
834,190.0,3.803841032851545,1.0,7
412,194.0,3.7661469675833095,1.0,1
459,195.0,3.852302482802064,1.0,7
726,196.0,3.8934580802096233,1.0,7
768,197.0,3.098836841222623,1.0,4
550,197.0,2.5038443204036396,1.0,4
51,198.0,1.4561484469817507,1.0,6
664,198.0,3.1173010855924246,1.0,3
480,199.0,2.054993507084612,1.0,5
747,199.0,3.5361464744504953,1.0,2
138,199.0,3.6173010855924246,1.0,3
186,199.0,3.1634575870768096,1.0,7
355,200.0,4.31922653334634,1.0,1
636,200.0,2.256153378309894,1.0,6
588,201.0,4.443450683217409,1.0,1
291,201.0,1.4703773638033595,1.0,5
428,201.0,4.139609650365865,1.0,1
443,202.0,3.865757604214802,1.0,2
347,203.0,2.569230642786458,1.0,6
427,204.0,3.263068223708303,1.0,7
811,204.0,2.3838390603202866,1.0,7
392,204.0,2.7523008390260166,1.0,6
614,204.0,4.423455285790342,1.0,6
754,204.0,3.714606773757782,1.0,2
617,205.0,4.299996712447905,1.0,1
780,205.0,3.1665363309518155,1.0,4
676,205.0,3.636913694755174,1.0,2
650,206.0,2.1646141707499975,1.0,4
662,206.0,3.763842019117172,1.0,1
562,206.0,2.951530331169243,1.0,7
720,207.0,3.166145323807262,1.0,2
421,207.0,2.734227601800771,1.0,2
173,207.0,3.5773020718580524,1.0,2
357,207.0,3.1176838738567403,1.0,6
525,207.0,4.05075817953642,1.0,2
667,207.0,2.787298948683563,1.0,4
358,208.0,3.791534276231756,1.0,3
537,208.0,3.6761471319609136,1.0,1
759,208.0,2.601532796833314,1.0,4
494,208.0,4.36691418788799,1.0,1
