,sac_t_y_landing,sac_y_landing,time_independant_sac,trial_sequence
212,-559.0,3.832689873639314,1.0,3
503,-502.0,3.4534524913710625,1.0,6
355,-453.0,4.1530647717786024,1.0,6
596,-439.0,4.361530495546847,1.0,7
589,-403.0,5.124606938135388,1.0,1
438,-395.0,4.651916406985654,1.0,7
820,-352.0,4.9946080887786195,1.0,4
307,-345.0,4.813834622124959,1.0,2
214,-332.0,4.264990383910123,1.0,3
575,-330.0,3.9469204342369704,1.0,7
504,-330.0,2.943076113833329,1.0,4
436,-326.0,3.5773020718580524,1.0,6
716,-323.0,5.1346087462890395,1.0,3
611,-318.0,4.935379254145815,1.0,7
83,-313.0,4.603072168770817,1.0,7
332,-307.0,3.728452902315074,1.0,6
201,-298.0,4.483066908687464,1.0,7
448,-297.0,3.4757610561445027,1.0,5
186,-293.0,4.519995397427068,1.0,1
221,-283.0,3.8888399643971128,1.0,7
282,-282.0,2.956148446981751,1.0,5
506,-279.0,4.644993342707008,1.0,6
352,-278.0,4.802301660914041,1.0,6
49,-277.0,3.174990548287727,1.0,5
347,-273.0,4.237689133940092,1.0,7
763,-271.0,5.495373665307253,1.0,1
315,-266.0,4.62806847027471,1.0,1
171,-265.0,3.104228752444003,1.0,6
445,-264.0,4.183070196239559,1.0,7
91,-262.0,4.04037358311845,1.0,7
522,-242.0,3.9226814903814726,1.0,4
349,-232.0,4.832681654759077,1.0,3
376,-230.0,4.500765576528633,1.0,5
483,-228.0,4.06922242390622,1.0,5
641,-226.0,3.3546074312682013,1.0,5
87,-222.0,4.153455778923158,1.0,6
184,-221.0,3.291917064496073,1.0,5
133,-219.0,4.64653271464451,1.0,3
89,-218.0,3.7946048012265243,1.0,7
216,-218.0,4.64653271464451,1.0,2
590,-217.0,3.8984589842864485,1.0,2
325,-217.0,4.839987507302039,1.0,3
406,-213.0,3.8988417725507665,1.0,6
81,-211.0,2.5919137769439784,1.0,5
4,-200.0,2.3476925858697935,1.0,5
210,-197.0,4.358451751671841,1.0,3
320,-197.0,4.2334538063919,1.0,4
92,-197.0,4.198455696734354,1.0,7
52,-196.0,2.7976835451015316,1.0,6
400,-195.0,5.091913776943978,1.0,1
62,-194.0,4.949608170967424,1.0,1
378,-194.0,4.611526386106728,1.0,7
470,-192.0,3.568456847377587,1.0,6
208,-187.0,2.566151898911452,1.0,4
94,-185.0,4.720373254363241,1.0,2
571,-183.0,2.3634526557486666,1.0,6
827,-181.0,4.307685353255184,1.0,4
668,-178.0,4.011532961210919,1.0,3
523,-177.0,4.6946031574504765,1.0,7
548,-172.0,4.691141625311154,1.0,7
74,-164.0,3.6142223417174186,1.0,6
525,-164.0,4.085381719809886,1.0,6
56,-164.0,4.46845520360154,1.0,1
88,-162.0,3.5611509948346267,1.0,2
318,-162.0,5.335377610369767,1.0,1
181,-162.0,3.205761549277317,1.0,4
223,-160.0,4.631147214149716,1.0,7
45,-158.0,4.804989397644493,1.0,1
662,-158.0,4.952686914842429,1.0,7
37,-157.0,4.633834950880169,1.0,2
215,-145.0,2.2007688640807266,1.0,5
55,-144.0,3.8280717578268044,1.0,7
339,-142.0,3.291143269087203,1.0,5
60,-141.0,4.319992109874972,1.0,5
194,-140.0,3.8903793363346173,1.0,4
227,-140.0,5.279610307876284,1.0,1
222,-138.0,4.641531810567685,1.0,1
34,-138.0,4.083842347872382,1.0,1
73,-137.0,4.178452080427051,1.0,6
366,-136.0,4.311912461923139,1.0,7
477,-136.0,5.846527783316368,1.0,1
703,-133.0,4.329993918028625,1.0,6
762,-132.0,4.616144501919238,1.0,7
53,-132.0,4.590374405006474,1.0,2
254,-128.0,3.236149762002591,1.0,6
230,-125.0,4.655377939124977,1.0,1
297,-122.0,3.860764919018214,1.0,7
211,-122.0,3.7265307421132547,1.0,7
560,-122.0,2.796152392044266,1.0,7
84,-119.0,2.7203814732434783,1.0,5
609,-119.0,4.548453231070282,1.0,2
348,-117.0,4.101141789688759,1.0,4
725,-116.0,5.289994904294254,1.0,1
35,-115.0,4.170763439619773,1.0,3
248,-112.0,4.344605623114548,1.0,2
296,-109.0,3.738454710468726,1.0,6
407,-108.0,4.781141460933549,1.0,6
546,-106.0,4.549609814743471,1.0,3
38,-99.0,4.305380404789049,1.0,7
75,-97.0,3.5576812438150656,1.0,5
15,-96.0,4.558837827488252,1.0,1
263,-92.0,4.268451916049445,1.0,3
435,-91.0,3.0365374815950488,1.0,5
220,-89.0,3.9103747337616843,1.0,4
384,-88.0,4.198064689589801,1.0,2
361,-87.0,4.075379911656233,1.0,5
545,-86.0,4.243838402809869,1.0,4
659,-84.0,4.473838895942683,1.0,6
28,-84.0,2.5923047840885314,1.0,5
104,-82.0,4.241142447199179,1.0,6
433,-81.0,4.163066579932256,1.0,3
40,-81.0,3.9119141056991866,1.0,4
822,-80.0,4.903068881218721,1.0,6
564,-79.0,4.215380569166653,1.0,6
66,-75.0,3.7184593130416586,1.0,6
311,-74.0,4.640375226894498,1.0,7
358,-74.0,3.749222095151011,1.0,5
226,-73.0,2.774992192063775,1.0,5
290,-72.0,1.986145652562472,1.0,4
123,-72.0,4.128834046803343,1.0,7
319,-71.0,4.535380897921862,1.0,2
330,-67.0,4.140766234039051,1.0,2
225,-67.0,4.278453724203098,1.0,1
544,-67.0,5.409609157233051,1.0,1
616,-64.0,4.649994246783834,1.0,2
459,-63.0,4.962297715851528,1.0,2
705,-61.0,3.837682558835903,1.0,5
669,-59.0,3.8269151741536183,1.0,6
364,-59.0,4.898841772550766,1.0,1
654,-58.0,4.1072992774387735,1.0,5
425,-57.0,5.061142775954389,1.0,1
581,-54.0,3.4211503373242067,1.0,4
33,-52.0,4.5238397178307075,1.0,1
314,-51.0,4.2292184788437055,1.0,2
82,-47.0,3.712301825291646,1.0,5
175,-44.0,4.3780725797148285,1.0,2
640,-44.0,4.158839471264299,1.0,6
839,-44.0,4.233836594656216,1.0,7
739,-44.0,4.324993013951799,1.0,3
422,-39.0,4.589226040213526,1.0,7
17,-38.0,4.338065347100219,1.0,3
711,-36.0,3.2665297558476247,1.0,6
356,-35.0,3.9742216842069986,1.0,4
832,-34.0,4.118840457529929,1.0,4
313,-33.0,3.5569156672864315,1.0,6
203,-33.0,3.611534604986966,1.0,6
200,-32.0,3.433074305679678,1.0,6
385,-32.0,3.9607583439140233,1.0,5
46,-30.0,3.769608499722631,1.0,6
329,-30.0,4.115761713654921,1.0,3
340,-29.0,4.4892243964374785,1.0,3
336,-28.0,5.3888317455168755,1.0,1
68,-28.0,3.4076869970312313,1.0,3
341,-27.0,4.873071675638003,1.0,1
124,-27.0,3.9180715934492003,1.0,2
457,-27.0,3.9865284408267874,1.0,3
328,-26.0,4.648063867701777,1.0,1
496,-26.0,3.8496065271913755,1.0,5
127,-26.0,4.94422447862628,1.0,3
790,-25.0,4.077302071858052,1.0,6
300,-25.0,3.802684449178358,1.0,2
310,-24.0,4.300379500712221,1.0,7
273,-24.0,3.7949958083710795,1.0,5
712,-22.0,3.6422973870963173,1.0,6
305,-19.0,3.47307331941405,1.0,6
242,-19.0,4.2799930961406005,1.0,3
427,-17.0,5.178452080427051,1.0,1
835,-16.0,4.356146803205704,1.0,3
743,-15.0,4.810764097130191,1.0,3
394,-15.0,5.383065264911417,1.0,1
130,-13.0,4.351145899128878,1.0,4
650,-12.0,4.479605376548142,1.0,6
713,-11.0,5.151533618721338,1.0,1
78,-10.0,3.530762782109352,1.0,5
686,-8.0,3.031145570373668,1.0,5
70,-6.0,4.068074059113272,1.0,3
428,-6.0,4.208449286007769,1.0,4
696,-4.0,4.675756124816361,1.0,7
192,-1.0,2.139226862101549,1.0,5
253,0.0,4.159996054937485,1.0,1
714,2.0,4.6765299202252315,1.0,1
667,4.0,3.6611444197304364,1.0,4
761,5.0,5.176912708489547,1.0,1
284,7.0,3.1173010855924246,1.0,5
469,8.0,5.5303717749648,1.0,1
764,10.0,4.021143762220016,1.0,3
39,11.0,4.134991534553355,1.0,7
207,12.0,4.984989068889283,1.0,7
570,14.0,3.6892194651093355,1.0,6
426,14.0,4.626529098337207,1.0,7
665,15.0,5.634600527408802,1.0,2
86,16.0,4.556532879022116,1.0,1
2,16.0,3.12152819426038,1.0,7
549,16.0,4.941911311279907,1.0,7
24,17.0,5.213450190084595,1.0,1
105,19.0,3.5003827882643157,1.0,3
69,21.0,4.091148200415345,1.0,2
742,25.0,4.9611493510585785,1.0,1
505,25.0,4.267686339520812,1.0,2
77,29.0,4.487685024499974,1.0,2
588,30.0,4.769608499722631,1.0,1
309,36.0,5.378447149098909,1.0,1
444,38.0,3.70652712580595,1.0,4
126,41.0,3.8672969761523057,1.0,4
326,41.0,4.213841197229149,1.0,5
651,44.0,4.304989397644493,1.0,2
303,45.0,3.5915309886796605,1.0,4
96,46.0,4.555759083613245,1.0,6
621,46.0,4.778836512467414,1.0,2
51,46.0,3.5107591658020474,1.0,7
164,47.0,3.4492253827031054,1.0,6
162,48.0,3.5915309886796605,1.0,4
837,49.0,4.532302154046857,1.0,7
119,50.0,3.6011500085689967,1.0,4
196,50.0,3.348067155253871,1.0,5
182,50.0,4.0365292627148115,1.0,6
678,50.0,3.3742200404309513,1.0,5
737,51.0,3.852685271066382,1.0,4
479,53.0,5.106916489174456,1.0,1
593,54.0,4.266912544111943,1.0,2
43,54.0,4.586530084602835,1.0,2
772,54.0,4.344996630259104,1.0,6
563,56.0,4.376142200632771,1.0,3
429,58.0,4.587686668276022,1.0,6
176,59.0,3.2922998527603893,1.0,3
362,59.0,4.337299770571587,1.0,6
302,60.0,4.427299606193981,1.0,3
583,61.0,4.536912050979127,1.0,3
697,62.0,4.305763193053364,1.0,7
138,62.0,3.5161510770234283,1.0,4
446,62.0,4.394606445002572,1.0,1
655,64.0,4.479996383692695,1.0,2
489,66.0,4.55537629534893,1.0,7
239,66.0,4.890762124598933,1.0,1
103,67.0,3.4115313174348705,1.0,6
213,67.0,3.1538385671874734,1.0,6
630,67.0,4.034224314248676,1.0,6
293,68.0,4.068074059113272,1.0,6
690,70.0,4.226530742113255,1.0,6
185,72.0,3.7226864217096156,1.0,2
572,72.0,4.958070607183571,1.0,1
715,75.0,4.478066004610638,1.0,4
666,76.0,4.376533207777326,1.0,3
826,78.0,4.128834046803343,1.0,4
617,82.0,4.173451176350223,1.0,5
437,82.0,3.8949892332668887,1.0,4
836,84.0,4.225756946704384,1.0,3
803,85.0,4.41921995824215,1.0,7
782,86.0,5.5653781035025816,1.0,1
788,88.0,4.718451094161421,1.0,4
699,88.0,4.744986767602819,1.0,3
372,88.0,5.726147953848937,1.0,1
550,90.0,3.7046131844843675,1.0,4
814,92.0,5.395763028675761,1.0,7
730,92.0,4.234610390065087,1.0,6
833,93.0,4.898450765406211,1.0,2
219,93.0,3.802684449178358,1.0,7
776,93.0,3.1930720043932124,1.0,5
631,96.0,5.079224232059873,1.0,2
324,96.0,3.7811496798137867,1.0,4
383,97.0,3.9580706071835707,1.0,5
256,97.0,3.789603897149699,1.0,7
567,97.0,4.236149762002591,1.0,7
553,99.0,4.59267935347261,1.0,3
178,100.0,3.305763193053364,1.0,2
552,100.0,5.996147460716124,1.0,1
734,100.0,4.563073155036446,1.0,3
54,102.0,5.2165289339596015,1.0,1
321,105.0,4.257301743102845,1.0,2
615,105.0,4.243072826281237,1.0,3
602,105.0,4.1911498441913935,1.0,6
694,105.0,4.2038393890754975,1.0,4
717,109.0,4.403451669483039,1.0,2
476,109.0,5.831525071085891,1.0,1
511,111.0,3.5230741413020743,1.0,4
746,111.0,5.4730651005338125,1.0,1
695,113.0,4.2446039793385,1.0,3
294,114.0,2.6461499263801946,1.0,4
838,115.0,4.096531892756487,1.0,7
498,116.0,3.6607616314661184,1.0,6
44,117.0,4.340761302710908,1.0,1
